ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:CVX,142.4,214.71,168.47,175.06,1772897446.71
NYSE:SLB,31.64,58.8199,46.38,47.95,1051757755.79
NASDAQ:BKR,37.69,70.41,56.31,59.15,521971899.18
NYSE:HAL,20.09,43.59,34.09,35.17,502642744.64
NYSE:FTI,31.88,77.78,65.23,67.39,356026348.21
NYSE:SU,37.225,70.29,53.81,56.23,334322887.81
NYSE:DD,33.335,144.845,135.74,48.19,246796885.11
NYSE:KGS,30.0613,77.68,74.43,70.72,175488563.65
NYSE:SEI,24.57,86.19,79.27,82.17,175642728.18
NASDAQ:WFRD,49.4535,113.15,80.92,91.78,145988675.26
NYSE:LBRT,9.9,34.478,26.27,27.85,122392624.86
NYSE:AROC,21.17,42.23,40.45,38.08,115721634.24
NYSE:NOV,11.775,21.55,18.43,18.68,110739869.92
NYSE:WBI,18.64,36.2099,33.3,29.98,101216423.72
NYSE:VAL,41.23,114.12,74.53,79.92,86546483.51
NYSE:TDW,45.18,93.13,66.6,66.35,69506126.88
NYSE:PUMP,4.51,18.5,14.74,15.04,65509322.16
NYSE:TS,33.65,64.595,55.98,58.15,66272304.34
NASDAQ:VISN,7.135,20.55,12.88,12.88,69840450.88
NYSE:OII,20.213,40.66,39.53,36.19,58587415.20
