Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:DD	0.9147703051567078	52.38	2026-05-15	0.3575		68.34071093249774	50.3877403249913	-1.9006	55.87
NYSE:FHN	0.9147011041641235	25.61	2026-03-13	0.155		0	0	2.1576	26.84
NASDAQ:PAA	0.914656937122345	24.47	2026-05-01	0.3895	Withholding Tax: 10%	65.78665297427175	90.62031033540063	2.0353	22.67
NASDAQ:VISN	0.9146534204483032	13.29	2026-04-28	0	GTC: delete	46.643805558930815	68.58661265330795	0.0027	17.00
NASDAQ:FIBK	0.9145181775093079	37.54				-155.00487697649248	-144.96642737622037	3.1024	36.38
NASDAQ:EBC	0.9144713282585144	21.09				-80.8661512211104	-77.50683274037803	0.3967	23.50
NASDAQ:UBSI	0.9144390821456909	46.27	2026-03-13	0.3725		-78.89118211589161	-78.8432498869936	3.3264	45.80
NYSE:RNST	0.9144067764282227	42.95	2026-03-17	0.2225		0	0	1.5058	43.86
NASDAQ:WSFS	0.9143557548522949	75.89				-190.6908348075041	-176.89825311192652	5.5035	73.75
NASDAQ:IBOC	0.9143232107162476	76.74				30.207063444780474	37.27998488909493	6.6309	87.00
NASDAQ:CATY	0.9142932295799255	61.29				-223.17600409742317	-220.83939981589523	4.7053	54.60
NASDAQ:WSBC	0.9141927361488342	36.83				-156.0645331469691	-143.52109518334095	2.3213	40.25
NASDAQ:WAFD	0.914139986038208	37.57				0	0	3.4160	37.00
NYSE:VLO	0.9132840037345886	276.38				426.04986850259513	531.5112255468372	7.8541	246.67
NASDAQ:RRBI	0.9132088422775269	97.57	2026-03-09	0.135		-257.5538994866838	-248.36243274263023	6.5019	101.00
NASDAQ:HFWA	0.9129433035850525	29.18				-97.13980355701918	-98.07129163974243	1.6419	30.80
NASDAQ:CWBC	0.9128033518791199	25.77	2026-05-08	0.12		0	0	1.5260	28.38
NASDAQ:CAC	0.9126299023628235	53.54	2026-04-15	0.42		-269.8682545689626	-287.7600076748019	3.8383	51.75
NASDAQ:BFST	0.9126282334327698	30.02				-151.74877593182939	-148.8297414551702	2.6875	32.60
NASDAQ:HBCP	0.9122442603111267	68.98				0	0	5.9277	65.62
