Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:HOOD	1	161.97				179.94962865996217	181.36331443442293
NASDAQ:TLRY	1	1.65				1.9937095919708958	1.7000013111879686
NYSE:ITUB	1	10.04	2025-08-20	0.5975	ADR	-44.210305843538684	-40.278146343379454
NASDAQ:GRAB	1	7.56				5.576290695149434	6.131469356809104
NYSE:HIMS	1	65.49				49.282549089567965	50.196540152065374
NYSE:VALE	1	14.64	2025-08-13	0.295	ADR	4.855358266938167	11.202733617134426
NYSE:HPE	1	32.43	2025-06-18	0.13		0	0
NYSE:STR	1	27.72	2025-08-14	0.35		32.1414906459071	73.98339001301296
NYSE:ET	1	26.14	2025-08-08	0.32625	Withholding Tax: 10%	18.266451323010394	21.836696663886723
NYSE:CX	1	13.10	2025-06-17	0.00225	ADR	5.757730126448382	21.737717329388417
NYSE:AG	1	12.88	2025-08-29	0.005		10.273153293835993	17.532668804971916
NYSE:BCS	1	30.43	2025-08-08	0.02125	ADR	14.460277493222884	14.460277493222884
NYSE:CVE	1	22.71	2025-09-15	0.185		24.973510448349057	47.73081717727253
NYSE:WU	1	12.72	2025-06-16	0.235		6.193831024163139	10.406441037617622
NYSE:SCHW	1	144.23	2025-08-08	0.26		336.2769970038022	349.1146999481915
NYSE:BB	1	5.49				5.075552318422814	5.937052107136656
NYSE:OXY	1	66.63	2025-09-10	0.23		42.94642007837708	193.5004805739436
NYSE:CCJ	1	109.64				121.8649851972954	134.97150878552299
NASDAQ:XP	1	24.57				0	0
NYSE:CNH	1	18.42				11.205317695009457	17.771649100984945
