Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:VALE	1	14.89			Buy 199 at $9.93 ~= $1,976; ADR	0	0
NYSE:KEY	1	26.59	2025-09-02	0.205	Buy 666 at $17.73 ~= $11,808	0	0
NYSE:PFE	1	35.28	2025-07-25	0.4225	Buy 414 at $23.52 ~= $9,737	0	0
NASDAQ:HBAN	1	24.24	2025-09-17	0.155		-79.38090886434148	-70.56154208283476
NYSE:NU	1	18.57				0	0
NASDAQ:GRAB	1	7.37				5.3471151979103	5.8971403881368305
NYSE:NVO	1	73.55			ADR	0	0
NYSE:BBD	1	4.29	2025-08-05	0.01625	ADR	-18.852650182690326	-16.3533237642104
NYSE:ITUB	1	9.69	2025-08-04	0.5975	ADR	0	0
NASDAQ:ENVX	1	17.96				8.142346950349848	8.574785563395682
NYSE:NOK	1	6.07	2025-07-29	0.035	ADR	3.1099043187146473	5.242388741475773
NYSE:AMCR	1	14.19	2025-05-22	0.127		0	0
NASDAQ:MSTR	1	588.96				195.61324030818759	195.77309784506372
NASDAQ:CIFR	1	7.88				0	0
NYSE:BMY	1	66.69	2025-07-03	0.305		142.86191383293155	169.00185738502176
NYSE:SLB	1	50.41	2025-09-03	0.28		65.42219311154938	119.60295318288357
NYSEAMERICAN:GORO	1	0.93				0	0
NYSE:AG	1	12.23	2025-05-16	0.005		0	0
NYSE:ET	1	27.00	2025-08-08	0.32375	Withholding Tax: 10%	0	0
NASDAQ:ERIC	1	10.90			ADR	7.448766293226798	11.428648456645696
