Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:TLRY	1	1.71				1.9818690095969138	1.693030447508961
NYSE:ITUB	1	10.17	2025-08-20	0.5975	ADR	-44.42506923478567	-40.521820831021905
NYSE:BBD	1	4.38	2025-09-03	0.038	ADR	-18.662868514973862	-16.156380961109143
NASDAQ:GRAB	1	7.89				5.592581186796181	6.144825106872354
NYSE:VALE	1	14.75	2025-08-13	0.295	ADR	4.821431929475888	11.141618419292872
NYSE:HIMS	1	67.65				48.034002596124076	48.94319342866729
NYSE:MDT	1	135.23	2025-09-26	0.7		0	0
NYSE:B	1	36.72	2025-05-30	0.1		0	0
NYSE:CX	1	13.08	2025-06-17	0.00225	ADR	5.710384525186921	21.57176070071259
NYSE:STR	1	27.72	2025-08-14	0.35		32.00938438149392	73.70071206299181
NASDAQ:ALTS	1	9.82				0	0
NYSE:PR	1	20.04	2025-09-16	0.165		20.88513244226142	46.9956086531516
NYSE:AG	1	13.38	2025-08-29	0.005		10.080201484368876	10.683990561903046
NYSE:KVUE	1	32.31	2025-08-13	0.205		28.09711572910928	32.093249308610794
NYSE:WU	1	12.75	2025-06-16	0.235		6.285640124770606	10.483183155553904
NYSE:FSM	1	10.85				11.018644228757799	12.615960763893439
NYSE:YMM	1	16.75			ADR	0	0
NYSE:VICI	1	48.97	2025-06-18	0.4325		56.040172252160914	56.00734114328613
NYSE:CVE	1	22.53	2025-09-15	0.185		24.779227853630328	47.461107401112706
NYSE:BABA	1	184.73	2025-06-12	1.905	ADR	0	0
