Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:GRAB	1	7.51			Buy 591 at $5.01 ~= $2,961	5.54818586085367	6.104870056494546
NYSE:HIMS	1	69.45			Buy 105 at $46.30 ~= $4,862	51.28198181329698	52.19839261686592
NASDAQ:HOOD	1	164.02				183.73661748066442	185.1541498996852
NYSE:TPR	1	152.49	2025-09-05	0.35		153.42881650124	164.95069018699223
NASDAQ:IBKR	1	96.75	2025-08-29	0.067		720.7355697273518	724.3879230705168
NASDAQ:XP	1	25.26				-2.988608310966612	-0.695678289579646
NYSE:SCHW	1	146.22	2025-08-08	0.26		339.77366331512883	352.6590972842871
NASDAQ:TIGR	1	19.23			ADR	0	0
NYSE:BTI	1	86.14	2025-10-03	0.6005	ADR	0	0
NYSE:SE	1	286.13			ADR	301.81449768369646	303.0474195434492
NASDAQ:FLEX	1	81.21				48.9566520961775	64.07557080491249
NYSEAMERICAN:GNS	1	1.44				0	0
NYSE:PBA	1	56.64	2025-09-15	0.6945		67.18561887664745	89.30762708602852
NASDAQ:BTOG	1	0.70				0	0
NYSE:CPRI	1	32.87				57.275206529841824	-11.057560560073265
NYSE:WT	1	20.13	2025-08-13	0.03		28.02091905166344	28.453623091623783
NASDAQ:BTDR	1	19.62				10.913146434277552	15.434237064362975
NASDAQ:FUTU	1	292.08			ADR	69.01452726096441	72.63801000259922
NYSE:GRND	1	24.18				24.141149970510252	23.705693643592067
NYSE:PNR	1	164.28	2025-07-18	0.24		253.13855377767007	254.966996307116
