ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:ONDS,0.57,15.28,9.23,9.68,850269273.51
NASDAQ:DVLT,0.2512,4.1,0.7403,0.6428,29829584.88
NYSE:KD,10.1,44.2,12.12,23.38,168095118.34
NYSE:BBAI,2.36,10.36,4.43,4.5,318927193.70
NASDAQ:GRAB,3.36,6.62,4.23,4.19,227576334.71
NASDAQ:MSTR,104.165,457.22,126.07,129.09,4160361199.26
NASDAQ:JTAI,0.1357,11.77,0.1404,0.1542,10498002.47
NASDAQ:CRWV,33.515,187.0,95.15,82.46,2123288688.69
NASDAQ:RGTI,6.86,58.1501,16.43,17.19,524187437.96
NASDAQ:SOUN,6.52,22.17,7.96,8.07,227595859.34
NASDAQ:PGY,8.5,44.99,12.87,18.14,119300110.55
NYSE:QBTS,4.45,46.75,19.64,20.11,588699287.53
NYSE:U,15.33,52.15,21.41,24.94,941963992.12
NASDAQ:CCC,5.115,10.99,5.18,6.5,134662029.76
NASDAQ:NVTS,1.52,17.79,8.76,8.2,168910451.99
NASDAQ:LYFT,9.66,25.54,13.99,16.16,377440622.82
NASDAQ:GTM,5.84,12.63,6.56,6.87,98609309.97
NASDAQ:CFLT,15.64,37.9,30.51,30.33,892120327.10
NYSE:STM,17.25,35.07,34.95,29.33,366847678.12
NYSE:IONQ,17.88,84.64,33.61,35.34,807115440.03
