Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:DD	0.9083443880081177	53.35	2025-11-28	0.3575	Buy 57 at $50.30 ~= $2,867	71.42436154018874	52.36027844860183
NYSE:ELME	0.847101628780365	2.35	2026-01-08	0.18		0	0
NYSE:IT	0.7975518107414246	171.05				0	0
NYSE:FIS	0.7775355577468872	51.16	2026-03-10	0.39		0	0
NASDAQ:HCKT	0.765373706817627	15.16	2025-12-23	0.1175		0	0
NASDAQ:III	0.7427318096160889	4.98	2025-12-05	0.045		0	0
NASDAQ:MVIS	0.7281398773193359	0.79				0	0
NYSE:STM	0.6617265343666077	36.18	2026-03-24	0	ADR	0	0
NYSE:LDOS	0.6562092900276184	183.47	2025-12-15	0.4		0	0
NYSE:ASGN	0.626688539981842	44.69				0	0
NYSE:ST	0.6227098107337952	38.27	2026-02-11	0.12	Buy 78 at $36.91 ~= $2,879	0	0
NYSE:NABL	0.6216787695884705	5.67				0	0
NASDAQ:LASR	0.5446253418922424	57.78				0	0
NASDAQ:HIMX	0.5231748223304749	8.33			ADR	0	0
NYSE:PSN	0.5101308226585388	65.12				0	0
NASDAQ:ADTN	0.494109183549881	10.63				0	0
NYSEAMERICAN:MPTI	0.48839041590690613	65.19				0	0
NYSE:AHH	0.4867335259914398	7.17	2025-12-31	0.15625		0	0
NYSE:UIS	0.4865042567253113	2.34				0	0
NYSE:DDD	0.47390884160995483	2.21				0	0
