ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:QCOM,120.8019,205.95,148.89,152.7,1477060014.02
NASDAQ:SWKS,47.93,90.9,59.0,55.28,306540504.45
NASDAQ:MVIS,0.665,1.93,0.7001,0.9186,4626585.57
NYSE:FIS,50.74,83.97,51.57,56.19,305620405.10
NASDAQ:CTSH,65.15,90.82,76.71,83.3,445525113.16
NYSE:ELME,2.1,18.08,2.18,2.16,20675137.63
NYSE:DD,33.335,85.0,47.83,44.63,205634010.68
NYSE:G,37.48652,56.76,38.34,44.78,85020271.09
NASDAQ:INDI,1.53,6.05,3.86,4.32,11395315.11
NASDAQ:CGNX,22.67,49.76,40.73,39.05,73755294.80
NYSE:ST,17.32,36.7861,36.1,34.37,54505419.23
NASDAQ:LTRX,1.91,8.24,6.23,7.16,14558850.43
NASDAQ:JKHY,144.12,196.0,173.78,179.81,180044136.28
NASDAQ:GDYN,6.94,25.5,7.265,8.28,8672840.45
NASDAQ:POWI,30.86,68.2,47.25,46.77,42596868.63
NASDAQ:AIP,5.46,19.85,14.19,16.12,6113725.65
NASDAQ:HCKT,16.45,34.0234,16.48,18.63,3495797.53
NYSE:INGM,14.25,24.81,21.81,21.1,8658654.37
NASDAQ:INSG,6.24,18.11,9.75,11.2,1744768.71
NASDAQ:SYNA,41.8,94.59,87.7,86.23,61559500.40
