Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:HBAN	1	23.87	2025-06-17	0.155	Buy 812 at $15.91 ~= $12,919	-79.80450717762797	-70.15354653642278
NYSE:SEM	1	22.59	2025-05-15	0.09375		19.403195060564602	28.653750858976828
NYSE:MFG	1	8.25	2025-03-31	35	ADR	-98.24432060887902	-97.15952904655506
NASDAQ:PPC	1	69.39	2025-04-03	0		34.08304436923005	64.6824400333319
NYSE:EME	1	733.59	2025-04-17	0.25		543.9249677677186	606.4675557616123
NASDAQ:CALM	1	156.73	2025-04-30	1.685		765.7812324438819	798.763648762524
NYSE:MAX	1	16.08				29.703404773020136	31.47802527201923
NASDAQ:ROAD	1	158.56				95.14697324300616	145.60653813129161
NASDAQ:POOL	1	433.62	2025-05-15	1.2		284.3819669391935	296.76951531470735
NASDAQ:FFBC	1	35.69	2025-06-02	0.2375		-96.76953061471842	-91.41430548480602
NASDAQ:IGIC	1	34.59	2025-06-02	0		-3.8736882562141184	-3.8736882562141184
NASDAQ:IESC	1	417.72				282.09357153558324	322.02935332783136
NASDAQ:BANF	1	179.63	2025-06-30	0.4525		0.648620125331164	12.477974140966097
NASDAQ:CHCO	1	175.56	2025-07-15	0.77		-112.38519228949718	-97.32506580426038
NYSE:ASR	1	460.50	2025-05-28	0	ADR	2130.4877297440876	3491.2282778089843
NASDAQ:SMBK	1	47.63	2025-05-02	0.08		-183.57881347955092	-172.88563220534397
NASDAQ:MGPI	0.9991100430488586	34.99	2025-05-16	0.12		43.85548754052768	54.646543036832405
NYSE:NBHC	0.9978633522987366	40.63	2025-05-30	0.29		-132.61987966122447	-121.2070692427766
NYSE:RBC	0.9976040720939636	417.87				442.315326331608	508.50459989998615
