Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:SEM	1.000	23.46	15 May 2025	0.09375	GTC: delete	19.60	28.78
NASDAQ:CINF	0.897	157.20	23 Jun 2025	0.825	Buy 90 at 148.48 ~= 13,363	97.83	108.90
NASDAQ:CALM	0.895	104.19	30 Apr 2025	1.685	Buy 98 at 98.45 ~= 9,648	745.35	777.67
NASDAQ:ROAD	0.859	111.64			Buy 63 at 105.95 ~= 6,675	94.78	144.17
NYSE:FINV	0.858	9.30	16 Apr 2025	0.505	GTC: delete; ADR	18.77	19.05
NASDAQ:ARHS	0.848	9.55				18.07	44.23
NASDAQ:TREE	0.843	39.14			GTC: delete	50.28	15.49
NASDAQ:FTAI	0.802	132.03	16 May 2025	0.3		55.91	66.91
NASDAQ:IESC	0.780	289.60				278.07	317.20
NASDAQ:PAYX	0.779	164.81	12 May 2025	0.98		258.91	267.06
NASDAQ:KRNT	0.772	24.26				22.47	25.88
NASDAQ:GLDD	0.769	12.04				30.61	41.22
NYSE:PWR	0.758	373.10	1 Jul 2025	0.095		336.01	428.57
NASDAQ:STRL	0.758	212.09				335.77	373.16
NASDAQ:RDUS	0.752	31.00	21 Apr 2025	0.1875		15.52	72.79
NASDAQ:WSC	0.744	29.89	4 Jun 2025	0.0175		39.57	60.31
NASDAQ:MAT	0.739	20.24				50.78	20.74
NYSE:GVA	0.736	94.83	30 Jun 2025	0.13		188.23	198.21
NASDAQ:POOL	0.711	320.81	15 May 2025	1.2		301.96	314.22
NASDAQ:IGIC	0.707	23.96	2 Jun 2025	0		-3.03	-3.03
NASDAQ:DFDV	0.698	29.15				0.00	0.00
NYSE:FERG	0.694	225.87	20 Jun 2025	0.82		272.52	290.62
NYSE:HRI	0.693	128.17	30 May 2025	0.67375		-72.52	111.81
NASDAQ:WTW	0.687	314.79	30 Jun 2025	0.67		258.41	153.54
NYSE:HVT	0.683	21.73	2 Jun 2025	0.32	GTC: delete	10.63	25.61
