Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:PPC	1	70.43	2025-04-03	0	Buy 99 at $46.95 ~= $4,648	35.32816237596737	66.15042254765518
NASDAQ:IGIC	1	34.89	2025-06-02	0		-2.613284824665035	-2.613284824665035
NASDAQ:TREE	1	55.28				51.68561807794185	15.935834023463059
NASDAQ:IESC	0.9991096258163452	333.46				300.2625568302581	340.50180444900445
NYSE:SEM	0.9858294129371643	16.50	2025-05-15	0.09375		19.789700287781862	29.067742406126552
NYSE:PAC	0.9805547595024109	239.65	2025-05-27	0	ADR	380.8444022885142	452.88004128964997
NASDAQ:KRNT	0.9620602130889893	21.47				20.09965596997926	23.580845634927904
NASDAQ:ROAD	0.957880973815918	118.51				103.14042026552528	153.99723019534483
NYSE:TFC	0.9537826180458069	44.84	2025-05-09	0.52		-262.21553112281885	-254.89263642228354
NYSE:BAC	0.9509114623069763	50.50	2025-06-06	0.255		-230.64679748649365	-227.85752620609614
NYSE:PBI	0.9484212398529053	11.33	2025-05-19	0.0525		5.663678290602397	11.479434184010962
NYSE:PWR	0.9456189274787903	398.93	2025-07-01	0.095		360.9309935736681	456.08859241612913
NASDAQ:STRL	0.9404215812683105	245.35				370.8924875391353	409.3247925064573
NYSE:CAAP	0.93678879737854	21.44				31.816420174673443	50.39430694199531
NYSE:ASR	0.935878574848175	327.55	2025-05-28	0	ADR	2150.688277209163	3522.7222413031072
NASDAQ:CALM	0.9338814616203308	108.97	2025-04-30	1.685		770.9379695607585	804.1661993807015
NASDAQ:SMBK	0.9331622123718262	35.41	2025-05-02	0.08		-181.9839358827247	-171.18472772173723
NYSE:FIX	0.9165539741516113	548.31	2025-05-16	0.3375		700.61357937272	753.5858016497144
NASDAQ:TOI	0.9061060547828674	2.59				0.43567910010003624	1.3605131463479454
NASDAQ:FFBC	0.9033518433570862	25.93	2025-06-02	0.2375		-95.66258881777594	-90.22030951759488
