ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:SEM,14.0301,40.98,15.13,15.24,15796424.63
NASDAQ:CINF,111.92,161.745,146.99,149.76,75404495.97
NASDAQ:CALM,57.56,116.41,92.66,95.4,61696552.62
NASDAQ:ROAD,51.63,111.98,104.66,104.05,54545047.94
NYSE:FINV,4.63,11.08,8.87,8.64,4545262.53
NASDAQ:ARHS,6.61,19.8,8.78,8.84,11928672.52
NASDAQ:TREE,33.82,62.49,36.52,35.29,10153528.33
NASDAQ:FTAI,75.06,181.64,120.35,122.82,113532884.08
NASDAQ:IESC,124.55,320.085,271.22,269.95,51099079.31
NASDAQ:PAYX,115.4,161.24,154.045,159.33,220455897.68
NASDAQ:KRNT,13.59,34.285,22.5,22.96,6669217.49
NASDAQ:GLDD,7.51,12.89,11.58,11.57,5356564.99
NYSE:PWR,227.08,365.88,355.78,359.11,348683441.16
NASDAQ:STRL,93.5,208.77,204.46,193.81,80003744.61
NASDAQ:RDUS,10.57,29.74,29.59,29.66,27462095.32
NASDAQ:WSC,21.91,43.8,28.21,27.64,38308528.02
NASDAQ:MAT,13.945,22.065,19.25,18.66,46117948.05
NYSE:GVA,58.23,105.2,90.11,89.71,42982224.71
NASDAQ:POOL,284.275,395.597069,299.98,309.42,186798626.75
NASDAQ:IGIC,13.85,27.76,22.68,22.74,2930513.75
NASDAQ:DFDV,0.4208,187.99,26.27,16.74,34163229.23
NYSE:FERG,146.0,225.625,213.43,216.15,465706672.16
NYSE:HRI,96.185,246.88,121.19,119.43,54595679.64
NASDAQ:WTW,253.03,344.14,295.96,309.43,166614072.79
NYSE:HVT,17.01,29.85,19.93,19.63,2214367.06
