Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:CRTO	0.988	$46.75			Buy 89 at $42.84 ~= $3,813	$51.25	$64.67
NYSE:RKT	0.931	$15.73			Buy 260 at $14.77 ~= $3,840	$977.99	$987.35
NASDAQ:AMWD	0.925	$97.23			Buy 42 at $91.40 ~= $3,839	$70.16	$138.79
NASDAQ:OMAB	0.915	$69.26	19 Nov 2024	1.3625	Buy 13 at $65.23 ~= $848	$1,542.20	$1,823.58
NASDAQ:HNRG	0.903	$13.38				$19.57	$38.57
NASDAQ:METC	0.895	$13.70	2 Dec 2024	0.1345		$44.76	$72.39
NASDAQ:EEFT	0.885	$112.15				$630.51	$647.29
NASDAQ:XPEL	0.884	$47.73				$83.06	$90.50
NASDAQ:DRVN	0.875	$18.06				-$7.24	$3.30
NYSE:PBA	0.869	$43.75	16 Dec 2024	0.67825		$61.52	$76.99
NASDAQ:IQ	0.865	$2.33				-$31.00	-$26.38
NASDAQ:CELC	0.858	$13.72				$6.41	$6.45
NASDAQ:ENSG	0.856	$154.82	30 Sep 2024	0.06		$209.31	$235.22
NYSE:MBI	0.852	$7.42				$177.50	$179.59
NYSE:TTE	0.849	$61.11	31 Dec 2024	0.90525		$106.16	$234.46
NASDAQ:MNRO	0.848	$30.14	3 Dec 2024	0.28		$64.52	$88.71
NYSE:REVG	0.841	$33.10	27 Sep 2024	0.05		$26.77	$35.72
NYSE:PAC	0.837	$197.62	25 Nov 2024	0		$304.85	$369.47
NASDAQ:AVDL	0.837	$11.76				$8.02	$8.13
NYSE:UWMC	0.836	$6.98	19 Dec 2024	0.1		$1,206.71	$1,210.94
NASDAQ:ARHS	0.835	$10.78				$3.07	$15.95
