Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:SITC	1	8.07				25.205121245400125	93.79613147682659	3.3903
NASDAQ:TASK	1	9.92	2026-03-26	0		23.121277123236236	53.717425761363934	2.8787
NASDAQ:FHB	1	37.01	2026-02-13	0.26	Buy 374 at $24.67 ~= $9,227	-112.87159234877042	-109.86485622608053	2.2483
NYSE:CPF	1	47.73	2026-02-27	0.2725		-192.34371130747186	-188.90764862995314	2.9308
NYSE:MATX	1	244.81	2026-02-05	0.35	Buy 56 at $163.21 ~= $9,140	207.90091379240206	308.0385621704089	14.6223
NYSE:HE	1	22.52			Buy 616 at $15.01 ~= $9,246	-16.947839351780846	1.5342200210506318	0.7316
NYSE:DD	1	69.05	2026-03-02	0.3575	Buy 200 at $46.03 ~= $9,206	65.14694124197254	47.0359624697792	-1.9050
NASDAQ:JBIO	1	20.89				0	0	-2.5836
NYSE:ELME	1	3.12	2026-01-08	0.162		-1.6798926495536104	5.8755045780213555	-1.7349
NYSE:BOH	0.9384888410568237	78.49	2026-02-27	0.7		-401.0251858245324	-393.61698904797987	5.1831
NASDAQ:VRTX	0.8438160419464111	475.52			Buy 20 at $452.00 ~= $9,040	522.9296647735412	537.7934367829262	15.5638
NASDAQ:AVGO	0.838561475276947	323.33	2026-03-23	0.62		395.9648968159676	426.84943717060105	5.2743
NASDAQ:ONC	0.7953985333442688	303.56			ADR	329.9833786436555	421.44956413710855	2.8089
NYSE:TOL	0.7463765740394592	139.14	2026-04-10	0.25	Buy 69 at $133.28 ~= $9,196	284.816183369581	116.37740684668357	14.5683
NASDAQ:RVMD	0.7400193214416504	99.46				83.12056697345498	83.37498871274818	-5.7087
NYSE:NXDT	0.7380874156951904	4.53	2026-02-20	0.15		0	0	-1.8266
NYSE:HTGC	0.7362721562385559	14.72	2026-02-25	0.4	Buy 655 at $14.11 ~= $9,242	30.79872083829097	30.948281248390085	1.8495
NASDAQ:CCAP	0.7354456186294556	13.27	2026-03-31	0.42		17.588567352161895	28.678491938721514	0.9346
NYSE:GE	0.735196053981781	297.29	2026-03-09	0.36	Buy 32 at $284.98 ~= $9,119	300.38268214800604	321.16129285929253	8.3296
NYSE:IBP	0.73240727186203	278.22	2026-03-13	0.37		348.2301862999727	441.0516720396637	9.8387
