ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:MGRC,94.99,128.41,108.69,104.73,16775806.37
NYSE:DD,33.335,83.4,44.14,45.4,199671097.83
NYSE:ELME,1.98,17.68,2.01,2.09,3465843.33
NASDAQ:VRA,1.39,3.7994,3.4,3.29,2622201.04
NYSE:WWW,9.58,32.8,16.65,15.89,18316829.69
NYSE:CTOS,3.18,7.75,6.31,6.16,6498358.42
NASDAQ:MNST,54.73,87.38,73.96,77.05,428271659.55
NASDAQ:ANDE,31.03,71.54,67.64,70.12,31101228.37
NASDAQ:AVGO,138.1,414.61,322.51,324.92,9476898125.88
NYSE:AL,38.25,64.96,64.71,64.61,173125796.13
NYSE:SYY,67.12,91.845,81.6,84.52,240654051.60
NYSE:LOW,206.385,293.06,234.25,242.11,664604103.74
NASDAQ:AVO,9.6,15.02,12.66,11.82,13737899.52
NASDAQ:RCKY,11.93,48.7,39.14,42.48,2383026.97
NYSE:AER,85.57,154.94,135.21,135.2,216921342.73
NYSE:ALTG,3.54,8.9899,5.54,6.0,1250841.05
NASDAQ:SNDL,1.15,2.89,1.36,1.44,2329914.85
NASDAQ:REAL,4.61,17.392,9.33,9.79,33265959.44
NASDAQ:KDP,25.03,36.12,26.55,27.55,286389400.44
NASDAQ:CROX,73.205,122.84,79.69,78.98,97511448.80
