Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:DD	1	69.70	2026-03-02	0.3575	Buy 205 at $46.47 ~= $9,526	66.06861602280429	47.84048662533767	-1.9050
NASDAQ:JBIO	1	21.04				0	0	-2.5836
NYSE:ELME	1	3.12	2026-01-08	0.162		-1.6377266983335077	5.950193194134443	-1.7349
NASDAQ:RCKY	0.9233095645904541	42.08	2026-03-02	0.155	GTC: delete	116.21599245486898	133.6898095910991	2.9556
NYSE:SITC	0.8554642796516418	5.69				25.38626168420823	94.23269432910426	3.3903
NASDAQ:ANDE	0.8248307704925537	77.62	2026-04-01	0.195	Buy 129 at $73.91 ~= $9,534	285.8546199537413	323.6911909763193	2.8107
NYSE:WWW	0.8197861313819885	18.07	2026-04-01	0.1	GTC: delete	83.17659025966388	94.59173919063433	1.1781
NYSE:ONON	0.8145283460617065	36.68				54.41047125459718	63.97723410860169	0.8370
NASDAQ:VRTX	0.8003895878791809	479.45			Buy 20 at $457.49 ~= $9,150	544.1129846207502	559.0584487191301	15.5638
NASDAQ:REAL	0.7911142706871033	9.71			Buy 1030 at $9.27 ~= $9,548	13.381172429213313	16.204555411922442	-0.3513
NYSE:KR	0.7732982635498047	75.16	2026-05-15	0.3425		104.45923999177661	155.4345239189364	1.6547
NASDAQ:MNST	0.7718332409858704	76.69			Buy 33 at $73.34 ~= $2,420	97.92282383556037	100.10515686328746	1.9478
NYSE:DECK	0.7612279653549194	105.90				539.3955005700296	547.8121540977593	7.3259
NASDAQ:ONC	0.7442488670349121	291.47			ADR	324.16298925540315	416.04751795470327	2.8089
NASDAQ:CVCO	0.7399414777755737	505.79			Buy 19 at $484.70 ~= $9,209	733.0801703163796	762.1874250400506	23.7618
NASDAQ:TASK	0.7361978888511658	7.20	2026-03-26	0		23.306755236504472	54.06946197941652	2.8787
NYSE:PH	0.7289912700653076	959.20	2026-02-06	1.7575	Buy 10 at $919.83 ~= $9,198	1199.9102013775334	1327.3752511139712	28.0235
NASDAQ:HBAN	0.7185221910476685	16.23	2026-03-18	0.155	Buy 613 at $15.57 ~= $9,544	-69.20877577678564	-65.5093369235162	1.0854
NYSE:SIG	0.7180115580558777	94.83	2026-04-24	0.32		540.8178140626894	493.4689931976372	7.3475
NYSE:DHI	0.7160939574241638	144.70	2026-02-05	0.4125		222.38000073460225	226.068196217963	11.4806
