Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:ALEX	1	15.63				21.10586825222779	26.75672456023848	0.8875
NASDAQ:RCKY	1	60.36	2026-03-02	0.155		117.39599245486899	134.86980959109908	2.9556
NYSE:DD	1	68.69	2026-03-02	0.3575	Buy 206 at $45.79 ~= $9,433	65.37861602280428	47.15048662533766	-1.9050
NASDAQ:VRA	1	5.24				44.51019985090101	47.098684937056134	-1.7125
NYSE:ELME	1	3.07	2026-01-08	0.162		-1.6877266983335077	5.900193194134443	-1.7349
NASDAQ:REAL	0.9834855794906616	10.17				13.231172429213315	16.054555411922443	-0.3513
NASDAQ:MNST	0.9724826216697693	80.45			Buy 31 at $74.55 ~= $2,311	98.94282383556036	101.12515686328746	1.9478
NASDAQ:ANDE	0.9536124467849731	77.32	2026-04-01	0.195	Buy 90 at $72.19 ~= $6,497	285.38461995374126	323.22119097631935	2.8107
NYSE:KR	0.9469009041786194	78.64	2026-05-15	0.3425		104.5492399917766	155.52452391893638	1.6547
NYSE:WWW	0.9304630756378174	18.23	2026-04-01	0.1	GTC: delete	83.63659025966389	95.05173919063432	1.1781
NYSE:LOW	0.9010232090950012	249.12	2026-04-22	1.1875		212.64986555766458	259.91543833591305	11.8620
NASDAQ:AVO	0.8897203207015991	13.87				27.67683906958659	29.529162802864306	0.4672
NYSE:DECK	0.8673276901245117	107.52				547.0455005700296	555.4621540977593	7.3259
NYSE:UNFI	0.8558953404426575	43.98				125.29297288382003	190.4519504346869	-1.2839
NYSE:ONON	0.8464189171791077	42.21				61.91047125459717	71.47723410860169	0.8370
NYSE:PM	0.8451461791992188	176.24	2026-03-19	1.41		294.80685695545657	317.7850117434451	7.2899
NYSE:SYY	0.8451027870178223	87.17	2026-04-02	0.5325		91.59736432198304	126.59285640016792	3.7521
NASDAQ:STKL	0.8384243249893188	6.82				5.275421964649184	8.23069012196819	0.1332
NASDAQ:COKE	0.836112916469574	197.02				220.78538125417685	270.712014079218	7.5672
NYSE:TPB	0.832467794418335	94.11	2026-03-20	0.075		160.4501443465493	168.85134471141185	3.0387
