Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:ELME	1	3.25	2026-01-08	0.18		0	0	-1.4821
NYSE:DD	0.9547061920166016	53.80	2026-03-02	0.3575	Buy 128 at $50.21 ~= $6,427	72.19696077872432	52.43826804663044	-1.9050
NASDAQ:III	0.9359325766563416	5.16	2025-12-05	0.045		0	0	0.1405
NYSE:STM	0.8837471604347229	35.66	2026-03-24	0	ADR	0	0	0.1843
NYSE:CPRI	0.8745445013046265	21.87				68.12460011594078	76.56741758389316	-4.2295
NYSE:DEO	0.8632168769836426	94.59			ADR	0	0	3.4139
NYSE:BTI	0.8517297506332397	66.31	2026-03-27	0.6125	ADR	0	0	3.5797
NASDAQ:EXPE	0.8356826305389404	228.76	2026-03-05	0.4		206.0307747288416	344.77773816697265	11.0588
NYSE:ACN	0.8340773582458496	219.52	2026-01-13	1.555	GTC: delete	316.4920509247655	343.8752601987304	12.3670
NYSE:MDT	0.767346203327179	102.51	2025-12-26	0.7075		176.82815977011364	219.2613320196786	3.5938
NYSE:DECK	0.7643172740936279	123.86				598.3338742565643	607.3594462581136	7.3259
NYSE:WWW	0.7632230520248413	20.55	2026-04-01	0.1		89.93843200352323	101.90563551648565	1.1565
NASDAQ:TRIP	0.7451940178871155	10.56				56.9773807973381	64.36849978271484	0.3486
NASDAQ:BKNG	0.7394243478775024	4427.21	2026-03-06	9.6		7193.816615396379	7638.316378675915	170.6169
NASDAQ:RCKY	0.7202692031860352	50.14	2026-03-02	0.155		0	0	2.9725
NYSE:DOLE	0.7133851647377014	17.19	2025-12-09	0.08375		14.255188171967463	26.653143196886912	0.5393
NASDAQ:CMPR	0.7127816081047058	77.04				288.34109192654637	372.32754883863726	0.9646
NASDAQ:REAL	0.70841383934021	14.64				17.235617582299152	20.215445525404345	-0.3582
NYSE:LUXE	0.7031310796737671	10.13				0	0	3.3424
NYSE:TT	0.6994385719299316	481.35	2026-03-06	0.94		748.4825975446488	778.7411077589692	13.1865
