Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:DD	1	72.30	2026-03-02	0.3575	Buy 227 at $48.20 ~= $10,941	68.63831194911285	49.05312080778256	-1.9050
NYSE:CPRI	1	28.48			Buy 576 at $18.99 ~= $10,938	65.8327176226119	74.243380413948	-4.2295
NYSE:ELME	1	3.31	2026-01-08	0.18		0	0	-1.4821
NYSE:BTI	0.956218957901001	63.81	2026-03-27	0.6125	Buy 147 at $59.52 ~= $8,749; ADR	0	0	3.5797
NYSE:DEO	0.9208958148956299	87.71			ADR	0	0	3.4139
NYSE:PM	0.8806357979774475	189.42	2025-12-26	1.41		321.9674729182236	346.4147555375111	7.3901
NASDAQ:CMPR	0.8620478510856628	76.53				285.53910274866973	369.06636059271614	0.9646
NYSE:MDT	0.8606259226799011	100.12	2025-12-26	0.7075		171.3642022329183	213.50264647351244	3.5938
NYSE:WWW	0.8555653095245361	18.67	2026-04-01	0.1	GTC: delete	88.31476236172762	100.209173815133	1.1687
NASDAQ:AVGO	0.8467861413955688	353.71	2025-12-22	0.605		0	0	3.7169
NASDAQ:EXPE	0.8384378552436829	236.46	2026-03-05	0.4		211.47413258893084	349.1464621455822	11.0588
NASDAQ:RCKY	0.8354628086090088	47.87	2026-03-02	0.155		0	0	2.9680
NASDAQ:BKNG	0.8332774639129639	4870.26	2026-03-06	9.6		7542.0642816246955	7983.117150611316	170.6169
NASDAQ:REAL	0.8184894323348999	12.71				16.28882117976026	19.257395763189365	-0.3582
NYSE:UNFI	0.8088760375976562	40.00				54.037464136271375	-19.146775994986907	-1.6576
NYSE:DOLE	0.7990580797195435	16.10	2025-12-09	0.08375		13.134667171659279	25.483963800732234	0.5393
NASDAQ:TRIP	0.7954833507537842	11.61				56.906279149124806	64.24835782674896	0.3486
NYSE:DBI	0.7954820990562439	7.33				43.68255824824873	63.36836977401453	-0.6336
NYSE:ETN	0.7952964305877686	373.18	2026-03-10	1.04		613.6701965949695	661.5668830758818	10.5278
NYSE:TT	0.7885788679122925	461.87	2026-03-06	0.94		719.8074005134971	749.8315089616814	13.1865
