Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:SITC	1	8.07				25.420068536987586	94.78278079905718	3.3903
NASDAQ:TASK	1	9.92	2026-03-26	0		23.441227485903458	54.54267392998185	2.8787
NASDAQ:RCKY	1	58.24	2026-03-02	0.155	GTC: delete	116.81341249795506	134.42218910012258	2.9556
NYSE:WWW	1	24.46	2026-04-01	0.1	GTC: delete	83.24409333597596	94.75986271595887	1.1781
NASDAQ:STKL	1	9.72				5.295731361152544	8.274277684224892	0.1332
NASDAQ:REAL	1	13.48			Buy 657 at $8.99 ~= $5,906	13.029458394495254	15.868389718025428	-0.3513
NYSE:DD	1	69.05	2026-03-02	0.3575	Buy 141 at $46.03 ~= $6,490	65.6259614672204	47.1605364768393	-1.9050
NYSE:ELME	1	3.12	2026-01-08	0.162		-1.6733491349363985	5.980692721280464	-1.7349
NYSE:ONON	0.9867680072784424	35.96				54.95881671067919	64.63566465672262	0.8370
NASDAQ:MNST	0.9845470190048218	79.23				98.04590701623411	100.25329486148718	1.9478
NYSE:KR	0.9657607078552246	79.54	2026-05-15	0.3425		106.53435104708718	157.7775951445289	1.6547
NYSE:PM	0.9525510668754578	176.96	2026-03-19	1.41		296.546215743454	319.777952730047	7.2899
NASDAQ:JBIO	0.9517103433609009	14.91				0	0	-2.5836
NASDAQ:SNDL	0.9501821994781494	1.42				3.3322274900277042	4.831428416183593	-0.0418
NASDAQ:KDP	0.9374598264694214	28.34	2026-03-27	0.23	GTC: delete; exDate: 2026-03-27 amount: 60.95	32.259435471514976	35.27367339055141	1.5302
NASDAQ:CROX	0.9334717392921448	86.94				275.95230350306184	297.279796022431	-1.6164
NASDAQ:ANDE	0.9200742244720459	78.48	2026-04-01	0.195		288.93388134725745	326.983316055423	2.8107
NYSE:ACI	0.9116160273551941	18.35	2026-01-23	0.15	GTC: delete	44.378902088526175	54.98707582702287	1.6929
NYSE:TAP	0.9099947214126587	46.21	2026-03-06	0.47		118.79847094323992	190.9130198948624	-12.1850
NYSE:MO	0.9002470970153809	70.69	2026-03-25	1.04		173.4404335775622	175.7925555538373	4.1552
