Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:DD	1	72.91	2026-03-02	0.3575	Buy 222 at $48.61 ~= $10,791	70.22771877201482	50.59934369246986	-1.9050
NYSE:ELME	1	3.25	2026-01-08	0.18		0	0	-1.4821
NYSE:BTI	0.9603028297424316	67.23	2026-03-27	0.6125	Buy 173 at $62.63 ~= $10,835; ADR	0	0	3.5797
NYSE:DEO	0.9299672842025757	90.15			Buy 76 at $84.67 ~= $6,435; ADR	0	0	3.4139
NYSE:CPRI	0.8976882100105286	20.57				66.25769082941314	74.67635954436588	-4.2295
NYSE:PM	0.862816572189331	193.04	2025-12-26	1.41		321.2453584809001	345.74015763496607	7.3901
NYSE:TT	0.8533595204353333	481.47	2026-03-06	0.94		729.9671277438655	760.0494885419987	13.1865
NYSE:ABEV	0.8319634795188904	3.12	2025-12-22	0.3645	ADR	48.66446148159865	56.32784296355063	0.4090
NYSE:DECK	0.822299063205719	116.14				587.8383570773851	596.8112356144937	7.3259
NYSE:WWW	0.7997223138809204	18.77	2026-04-01	0.1		89.65760543296264	101.57013677576029	1.1687
NYSE:MDT	0.7973664999008179	102.40	2025-12-26	0.7075		175.30413287079472	217.51587232343408	3.5938
NASDAQ:FOSL	0.7961311340332031	4.64				0	0	-1.1107
NASDAQ:EXPE	0.7956456542015076	228.10	2026-03-05	0.4		205.03242877719347	342.9718214332733	11.0588
NASDAQ:RCKY	0.7921788692474365	48.38	2026-03-02	0.155		0	0	2.9680
NASDAQ:MNST	0.7910915613174438	84.63				101.60685327059795	96.41448961164814	1.9502
NASDAQ:CROX	0.7864163517951965	93.14				293.2630497842327	315.4408873037993	-1.6164
NASDAQ:ANDE	0.7812464833259583	69.50	2026-04-01	0.195		291.6086252211237	330.8851204784093	2.8251
NYSE:LUXE	0.7738125324249268	9.96				0	0	3.3424
NYSE:SYY	0.7682392001152039	94.05	2026-04-02	0.5325		100.93057444564185	138.2006598057603	3.7521
NASDAQ:AVO	0.7629993557929993	14.98				46.03243451091494	53.9672870060341	0.5322
