Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:BTI	1	86.89	2026-03-27	0.6125	Buy 135 at $57.93 ~= $7,821; ADR	0	0	3.5797
NYSE:DD	1	68.94	2026-03-02	0.3575	Buy 235 at $45.96 ~= $10,801	66.98110292757801	47.52470535059286	-1.9050
NYSE:NLOP	1	21.90	2026-02-18	0		109.71650481027065	153.88939930984697	-9.8057
NYSE:ELME	1	3.31	2026-01-08	0.18		-1.4934559466744595	6.436610008353131	-1.7341
NYSE:CPRI	0.9904839396476746	20.15				64.75976800026882	73.146542714961	-4.2295
NYSE:DEO	0.9903668761253357	90.68			ADR	0	0	3.4139
NYSE:WWW	0.9821063876152039	18.08	2026-04-01	0.1	GTC: delete	87.75850779794003	99.59886899718686	1.1687
NYSE:ABEV	0.9809601306915283	3.18	2025-12-22	0.3645	ADR	48.22746668564183	55.825672732886375	0.4090
NASDAQ:CHEF	0.9611971974372864	67.71				136.52961463553572	172.9985603957025	1.7782
NYSE:DB	0.9397557973861694	33.59				221.13740710052394	271.28368795597015	3.7580
NYSE:DBI	0.9363574385643005	6.91				42.863494300878905	62.46978777779344	-0.6336
NYSE:MDT	0.9298699498176575	98.67	2025-12-26	0.7075		168.61859381777143	210.5386807785703	3.5938
NASDAQ:REAL	0.9292812347412109	12.10				16.092264278737666	18.99523533437473	-0.3513
NYSE:PM	0.914608895778656	180.54	2026-03-19	1.41		311.73298558092023	336.03883889572035	7.3901
NASDAQ:MNST	0.9145373702049255	81.08				98.03801407738686	92.89911746372303	1.9478
NASDAQ:RCKY	0.9087543487548828	47.42	2026-03-02	0.155		0	0	2.9680
NYSE:BF.A	0.9033798575401306	28.06	2026-03-06	0.22775		123.98381298741546	132.22472949940527	4.7861
NYSE:BF.B	0.8879215717315674	27.32	2026-03-09	0.22775		81.42653550424501	86.14332342552393	2.7394
NYSE:LUXE	0.8796608448028564	9.98			GTC: delete	0	0	3.3424
NYSE:DECK	0.8776408433914185	113.39				578.187561069977	587.0911472328709	7.3259
