Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:DD	1	65.73	2026-03-02	0.3575	Buy 251 at $43.82 ~= $10,999	64.60404619384134	45.61036424834197	-1.9050
NYSE:ELME	1	3.09	2026-01-08	0.18		-1.6536470926430602	6.14879167926411	-1.7349
NYSE:WWW	0.8600528836250305	17.58	2026-04-01	0.1	GTC: delete	85.58471516419354	97.32430382458423	1.1781
NYSE:KR	0.8437215089797974	78.99	2026-05-15	0.3425	Buy 146 at $75.08 ~= $10,962	108.49876763196986	160.33333687351822	1.6547
NYSE:DECK	0.7936627268791199	111.42				568.1346310857044	576.8531562823717	7.3259
NASDAQ:MNST	0.7694965600967407	78.32			Buy 22 at $74.91 ~= $1,648	100.56913119777076	102.8327920589928	1.9478
NYSE:BF.A	0.7614379525184631	25.15	2026-03-09	0.22775		119.76521890788199	127.88061055114738	4.7910
NASDAQ:JBIO	0.7466808557510376	14.91				0	0	-2.5836
NASDAQ:ATPC	0.744503378868103	2.89				0	0	-1.9081
NYSE:LOW	0.7327314615249634	240.70	2026-01-21	1.1875		209.44238417098478	257.70428762293733	11.8620
NYSE:TAP	0.732250452041626	44.58	2026-03-06	0.47		121.18441785180818	195.05543295557254	-12.1850
NYSE:FMX	0.7194071412086487	111.18	2026-01-16	0	ADR	801.805178058959	839.6888285068566	25.9183
NYSE:ONON	0.7178531289100647	40.67				62.028999214526706	71.95309566151717	0.8370
NASDAQ:VRA	0.7176657915115356	3.96				45.689197180383154	48.28395313674677	-1.7125
NASDAQ:ANDE	0.7092722058296204	72.70	2026-04-01	0.195		289.6013711727643	328.3177687915273	2.8251
NYSE:PM	0.704658031463623	171.96	2026-03-19	1.41		301.02414363950544	324.8253852866039	7.2899
NYSE:DBI	0.7027969360351562	5.95	2026-03-26	0.05		41.068779436618335	60.389165204253565	-0.6336
NYSE:UNFI	0.7026114463806152	41.63				128.5677043621994	195.1730962549281	-1.2801
NASDAQ:RCKY	0.6884183883666992	42.96	2026-03-02	0.155		121.20637401665074	139.1151292696575	2.9556
NYSE:ABEV	0.6872295141220093	2.94	2025-12-22	0.2785	ADR	7.241698060219505	8.126972086593176	0.1814
