Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:LOW	1	344.79	2026-01-21	1.1875	Buy 32 at $229.86 ~= $7,356	203.95529826852643	251.8980817968005	11.8620
NYSE:DD	1	65.88	2026-03-02	0.3575	Buy 250 at $43.92 ~= $10,980	63.21474677697052	44.467319258772186	-1.9050
NYSE:ELME	1	3.06	2026-01-08	0		-1.6681627881377497	6.064890798316231	-1.7349
NYSE:WWW	0.960994303226471	17.84	2026-04-01	0.1	GTC: delete	84.21011445008712	95.84539655499292	1.1781
NYSE:DECK	0.8768501281738281	111.07				557.9149029566455	566.5357459562196	7.3259
NASDAQ:MNST	0.8730931878089905	78.62				100.23235079201241	102.46969316933279	1.9478
NASDAQ:VRA	0.8701515793800354	3.81				45.09638743715676	47.689159800854654	-1.7125
NYSE:KR	0.8660465478897095	78.35	2026-05-15	0.3425		107.32675073903211	158.88655042747422	1.6547
NYSE:SYY	0.8491683006286621	87.06	2026-04-02	0.5325		91.96856011030174	127.79907904292664	3.7521
NASDAQ:SNDL	0.8471120595932007	1.46				3.387634891154065	4.896356766402984	-0.0423
NYSE:BF.B	0.8278084993362427	24.61	2026-03-09	0.22775		77.95175919528268	82.61982262184083	2.7802
NYSE:BF.A	0.82538902759552	24.92	2026-03-09	0.22775		118.33174237591288	126.37587311795087	4.7910
NASDAQ:CROX	0.8123307824134827	80.83				274.62003843165496	296.15395849236154	-1.6164
NASDAQ:ANDE	0.799593448638916	71.91	2026-04-01	0.195		284.4167886339581	322.7177195666783	2.8107
NASDAQ:KDP	0.7966126203536987	28.58	2026-03-27	0.23	GTC: delete	32.995731603110634	36.03691703731717	1.5302
NASDAQ:REAL	0.7910825610160828	9.68				13.191992793458475	16.049293329645103	-0.3513
NASDAQ:JBIO	0.7897189259529114	14.85				0	0	-2.5836
NASDAQ:AVO	0.787543535232544	13.16				27.2984420643262	29.1655678649652	0.4672
NYSE:MO	0.7864623665809631	68.62	2026-03-25	1.04		173.17872899683468	175.56022072983356	4.1552
NASDAQ:ATPC	0.7728042602539062	2.50				0	0	-1.9081
