Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:DD	1	68.10	2026-03-02	0.3575	Buy 243 at $45.40 ~= $11,032	64.92368817868147	46.05366432904043	-1.9050
NYSE:ELME	1	3.13	2026-01-08	0.18		-1.6259131956412083	6.141637688195043	-1.7349
NASDAQ:MNST	0.8694074153900146	81.69			Buy 49 at $77.44 ~= $3,795	100.77492121963951	103.02534720775351	1.9478
NASDAQ:JBIO	0.8438593149185181	14.79				0	0	-2.5836
NYSE:ABEV	0.8304177522659302	3.04	2025-12-22	0.2785	Buy 3059 at $2.89 ~= $8,841; ADR	7.25510978745468	8.13775082271097	0.1814
NYSE:KR	0.8279446959495544	78.14	2026-05-15	0.3425		107.69676510114728	159.39354919702632	1.6547
NASDAQ:VRA	0.8166966438293457	3.76				45.4573025122853	48.05106628874348	-1.7125
NYSE:WWW	0.8028591871261597	17.48	2026-04-01	0.1	GTC: delete	85.31080916777493	96.99802613602259	1.1781
NYSE:DECK	0.8004518151283264	112.54				564.8883687720967	573.5577729099609	7.3259
NASDAQ:REAL	0.7934084534645081	10.37				14.032052494707314	16.89730239088556	-0.3513
NASDAQ:SNDL	0.7905152440071106	1.52				3.4243037234086398	4.937145868427494	-0.0423
NYSE:LOW	0.7807670831680298	249.86	2026-01-21	1.1875		210.58304089155004	258.68485730533337	11.8620
NYSE:TDG	0.7805230617523193	1290.98				1573.5050957295891	1708.7600161057942	34.8302
NASDAQ:STKL	0.778942346572876	6.79				5.367254272859087	8.385792961594966	0.1332
NASDAQ:RCKY	0.7693933844566345	45.31	2026-03-02	0.155		122.38128456367373	140.29450848607476	2.9680
NASDAQ:ANDE	0.7572923302650452	73.89	2026-04-01	0.195		289.5339455677981	328.140300201748	2.8251
NYSE:TAP	0.7376936078071594	44.53	2026-03-06	0.47		119.98928415446557	193.44721629121364	-12.1850
NYSE:DBI	0.7366476655006409	5.86				40.52329175020826	59.767209626194486	-0.6336
NASDAQ:CVCO	0.7326364517211914	521.52				747.001877487983	776.5860654810408	23.7618
NYSE:KBH	0.7194916605949402	56.99	2026-02-05	0.25		176.33677907716384	194.5000361894751	6.7874
