Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:ELME	1	3.21	2026-01-08	0.18		-1.5775213122117253	6.319913529253703	-1.7349
NASDAQ:REAL	0.9893370866775513	10.98				14.711045374197022	17.60584558188856	-0.3513
NYSE:DD	0.9767902493476868	49.32	2026-03-02	0.3575		66.8953961531485	47.56666598656786	-1.9050
NASDAQ:CHEF	0.9185855984687805	68.17				136.92874400667264	173.18341131632144	1.7782
NYSE:WWW	0.8682429790496826	17.29	2026-04-01	0.1	GTC: delete	85.67582487319	97.46259537241109	1.1687
NYSE:ABEV	0.8644970655441284	3.09	2025-12-22	0.2785	ADR	7.356512694684688	8.248901632695073	0.1814
NYSE:UNFI	0.8588652610778809	43.28				0	0	-1.2801
NASDAQ:MNST	0.85712069272995	82.46				104.21192584125968	106.51163942551734	1.9478
NASDAQ:RCKY	0.8568245768547058	46.49	2026-03-02	0.155		126.39953334000018	144.57395050518147	2.9680
NYSE:BF.A	0.8563461303710938	25.84	2026-03-09	0.22775		121.3262009806773	129.5386299265689	4.7910
NYSE:DBI	0.853743851184845	6.09				42.12740732121778	61.65485155907284	-0.6336
NYSE:BF.B	0.8528915047645569	25.31	2026-03-09	0.22775		79.79278093372974	84.55850894523289	2.7802
NYSE:PM	0.8254736661911011	180.78	2026-03-19	1.41		312.64206419223353	336.8081456770728	7.3901
NYSE:ONON	0.8226709365844727	42.03				61.49066591257531	71.57316683244628	0.8370
NYSE:DECK	0.8203786015510559	108.26				571.7260553615442	580.5783822840273	7.3259
NASDAQ:KLAC	0.815546452999115	1542.46	2026-02-17	1.85		1995.5813149870123	2048.570054346771	34.7734
NYSE:TDG	0.8073300719261169	1325.48				1620.0938026815925	1758.2740546273706	34.8302
NASDAQ:VRA	0.8045740723609924	3.77				41.94240999721232	8.317593771629575	-3.4890
NYSE:ACI	0.8029032349586487	18.12	2026-01-23	0.15		46.00055667914696	56.655464555666185	1.6929
NYSE:KR	0.8010880947113037	80.26	2026-02-13	0.3425		110.58396301955406	162.78992833569185	1.6547
