Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:SITC	1	8.65				25.975946052465396	95.86231242704768	3.3903
NYSE:DD	1	69.12	2026-03-02	0.3575		65.60874474662243	46.90194900495387	-1.9050
NYSE:NLOP	1	21.09	2026-02-18	0		105.68438487266108	148.56446268267499	-9.8057
NYSE:ELME	1	3.17	2026-01-08	0.18		-1.628909030140985	6.092731103690131	-1.7349
NASDAQ:JBIO	0.9664544463157654	16.30				0	0	-2.5836
NYSE:DECK	0.9531747698783875	110.16				557.3709389435892	565.9757176712073	7.3259
NASDAQ:CROX	0.9386290907859802	85.01				276.4403514543272	297.9445380984406	-1.6164
NASDAQ:MNST	0.9328650236129761	83.71				103.60518682240196	105.83820116343101	1.9478
NYSE:ONON	0.9280292391777039	41.92				60.82303952855875	70.61248376918046	0.8370
NASDAQ:RCKY	0.9126238226890564	46.72	2026-03-02	0.155		122.75922377190287	140.57939037086098	2.9680
NASDAQ:ANDE	0.9003868103027344	75.63	2026-04-01	0.195		289.50985608070675	327.9704895714559	2.8251
NASDAQ:STKL	0.8990567326545715	6.84				5.306421721045896	8.308962579914331	0.1332
NASDAQ:REAL	0.8805893063545227	10.58				14.098693489057611	16.953354543996085	-0.3513
NYSE:ABEV	0.8761823773384094	3.10	2025-12-22	0.2785	ADR	7.263151706834159	8.14230706496669	0.1814
NYSE:TPB	0.8736656308174133	99.34	2026-03-20	0.075		166.17729622125222	174.77464190908748	3.0387
NYSE:TDG	0.8617243766784668	1318.82				1582.100935263342	1716.3224154669015	34.8302
NYSE:BF.B	0.8604333400726318	25.43	2026-03-09	0.22775		78.52136814623297	83.18261110427741	2.7802
NYSE:KR	0.850959062576294	79.49	2026-05-15	0.3425		109.56718473547586	161.0814996806205	1.6547
NYSE:PM	0.8458567261695862	186.51	2026-03-19	1.41		309.7828363100009	333.2739300372595	7.3901
NASDAQ:CHEF	0.8375064134597778	68.51				134.31963525866453	169.53953647562955	1.7782
