Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NASDAQ:RCKY	1	65.25	2026-03-02	0.155		122.06724869099695	139.86430767284747	2.9680
NYSE:DD	1	69.31	2026-03-02	0.3575	Buy 241 at $46.21 ~= $11,137	66.19289753015792	47.526617536839545	-1.9050
NYSE:ELME	1	3.17	2026-01-08	0.18		-1.5996534775381737	6.110615621928868	-1.7349
NYSE:DECK	0.9714136123657227	112.97				560.3705364940441	568.9593117554914	7.3259
NASDAQ:VRA	0.9608699679374695	3.65				44.929650669265136	47.521762516901745	-1.7125
NASDAQ:MNST	0.9552843570709229	83.74			Buy 48 at $78.14 ~= $3,751	104.03820090414393	106.26690363547232	1.9478
NYSE:ONON	0.9420092701911926	43.30				62.58858573962932	72.35908590857773	0.8370
NASDAQ:ANDE	0.9397585391998291	76.35	2026-04-01	0.195	Buy 120 at $71.55 ~= $8,586	288.38795387643876	326.81233476047527	2.8251
NYSE:WWW	0.9301614761352539	17.77	2026-04-01	0.1	GTC: delete	84.66808238733942	96.26898126341628	1.1781
NASDAQ:REAL	0.9299283623695374	10.89				14.465421017109314	17.31744771836668	-0.3513
NASDAQ:STKL	0.9202067852020264	6.88				5.311249712228261	8.309818748900888	0.1332
NYSE:ABEV	0.9014937877655029	3.11	2025-12-22	0.2785	ADR	7.297690457742728	8.175978820680406	0.1814
NYSE:UNFI	0.8989657759666443	44.17				126.95500692090201	192.85993043827952	-1.2801
NYSE:KR	0.891923189163208	79.77	2026-05-15	0.3425		107.96783704962729	159.43675518351174	1.6547
NASDAQ:SNDL	0.8855462074279785	1.55				4.20900266100185	6.138468577458416	-0.0328
NYSE:BF.A	0.8740946054458618	25.21	2026-03-09	0.22775		118.2018543319789	126.22251354575283	4.7910
NASDAQ:CVGW	0.8471262454986572	25.73	2026-01-13	0.2		44.09465030098031	47.94361643002107	0.9889
NYSE:BF.B	0.8426124453544617	24.82	2026-03-09	0.22775		78.06130759635383	82.71575033645517	2.7802
NYSE:ACI	0.8312210440635681	18.79	2026-01-23	0.15		45.375698188998186	55.99490042580169	1.6929
NYSE:LOW	0.8308500051498413	256.38	2026-01-21	1.1875		218.82101803352512	266.6583601659407	11.8620
