Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:NCNA	1	0.12			Buy 89260 at $0.08 ~= $7,141; ADR	0	0
NASDAQ:HCTI	1	0.04				0	0
NYSE:NU	1	20.33				0	0
NYSE:VALE	1	15.48			GTC: delete; ADR	0	0
NYSE:ABEV	1	3.63	2025-05-19	0.167	GTC: delete; ADR	0	0
NYSE:BBD	1	4.43	2025-07-02	0.01625	ADR	0	0
NASDAQ:TLRY	1	1.02				0	0
NYSE:GGB	1	4.71	2025-05-12	0.16	ADR	0	0
NYSE:AES	1	19.66	2025-05-01	0.17425		0	0
NASDAQ:GRAB	1	7.51				0	0
NASDAQ:RGTI	1	20.54				0	0
NYSE:PBR	1	19.34	2025-06-04	1.4	ADR	0	0
NYSE:HIMS	1	77.89				0	0
NYSE:BRFS	1	6.13			ADR	0	0
NYSE:CDE	1	13.71				0	0
NYSE:NEM	1	89.72	2025-05-27	0.25		0	0
NASDAQ:XP	1	28.37				0	0
NASDAQ:BKR	1	59.64	2025-05-06	0.215		0	0
NYSE:TDOC	1	13.65				0	0
NASDAQ:ADIL	1	0.63				0	0
