ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:NCNA,0.0325,10.79,0.0502,0.0536,17662361.07
NASDAQ:HCTI,0.0055,1.9,0.0225,0.0256,4788437.80
NYSE:NU,9.01,16.145,12.83,13.6,1097218386.51
NYSE:VALE,8.055,12.045,10.14,10.22,537667681.15
NYSE:BBD,1.84,3.13,2.9,3.1,116825319.53
NASDAQ:GRAB,2.98,5.72,5.0,4.87,192445388.60
NASDAQ:TLRY,0.3507,2.15,0.5805,0.5387,24699317.31
NYSE:ABEV,1.76,2.635,2.35,2.47,74723257.58
NYSE:AES,9.46,20.3,12.59,11.52,295891297.85
NYSE:HPE,11.965,24.66,20.72,21.34,540007153.19
NYSE:HIMS,13.47,72.98,47.89,47.98,1586448734.43
NYSE:GGB,2.27,3.62,2.98,3.13,47184493.31
NYSE:PBR,11.0329,15.73,12.82,13.06,229331554.08
NYSE:WU,8.29,13.115,8.35,8.62,68899341.90
NASDAQ:MREO,1.575,5.02,1.61,2.87,11706289.30
NYSE:PR,10.01,16.95,14.16,14.06,162116095.17
NYSE:V,252.7,375.51,347.93,358.86,2183487517.60
NYSE:SAN,4.27,8.9,8.43,8.55,60960898.86
NYSE:TDOC,6.35,15.21,8.32,8.29,65797051.05
NYSE:AR,24.53,44.015,35.95,37.26,209350248.30
