Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:NU	1	20.77				0	0
NYSE:BBD	1	4.37	2025-07-02	0.01625	ADR	0	0
NYSE:HIMS	1	78.12				0	0
NYSE:NEM	1	87.12	2025-05-27	0.25		0	0
NYSE:PBR	1	18.55	2025-06-04	1.4	ADR	0	0
NASDAQ:BKR	1	59.05	2025-05-06	0.215		0	0
NYSE:SONY	1	36.66			GTC: delete; ADR	0	0
NYSE:CTRA	1	36.72	2025-05-15	0.2125		0	0
NASDAQ:TOI	1	5.66				0	0
NYSE:OVV	1	60.12	2025-06-13	0.3		0	0
NYSE:NOV	1	19.50	2025-06-13	0.075		0	0
NYSE:INVH	1	48.55	2025-06-26	0.285		0	0
NYSE:FLR	1	82.14				0	0
NYSE:GRND	1	31.92				0	0
NYSE:PBI	1	17.89	2025-05-19	0.0525		0	0
NYSE:BRFS	1	5.56			ADR	0	0
NYSE:RRC	1	57.36	2025-06-13	0.0825		0	0
NASDAQ:BLNK	1	1.46				0	0
NASDAQ:SSRM	1	18.43				0	0
NYSEAMERICAN:GORO	1	0.93				0	0
