Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:CX	1.000	10.33	10 Mar 2025	0	Buy 535 at $6.89 ~= $3,686; ADR $11.35	21.28	0.00
NYSE:TV	1.000	2.98			ADR	16.78	35.42
NYSE:AMX	1.000	26.14			Buy 612 at $17.43 ~= $10,667; ADR	10.46	33.00
NYSE:VLRS	1.000	6.62			ADR	-11.34	49.31
NYSE:SEM	1.000	22.59	15 May 2025	0.09375		19.06	28.24
NYSE:FMX	1.000	155.10	24 Apr 2025	1.14575	ADR	108.33	112.60
NYSE:VIST	1.000	77.93			ADR	58.23	98.81
NYSE:VTMX	1.000	41.97	14 Apr 2025	0.01875	ADR	24.47	24.84
NYSE:PAC	1.000	331.00			ADR	376.19	446.77
NASDAQ:OMAB	1.000	151.05			ADR	170.79	186.93
NYSE:ASR	1.000	518.13	28 May 2025	0	ADR	4383.10	5684.07
NASDAQ:PPC	0.987	50.99	3 Apr 2025	0		34.16	64.16
NYSE:QXO	0.976	17.43				28.82	28.84
NYSE:FINV	0.918	9.57	16 Apr 2025	0.505	ADR	18.79	19.14
NASDAQ:CALM	0.891	100.40	30 Apr 2025	1.685		743.55	775.87
NYSE:TME	0.870	17.99	3 Apr 2025	0	ADR	216.96	217.65
NYSE:PBI	0.869	10.06	19 May 2025	0.0525		4.25	9.97
NYSE:SPOT	0.847	673.73				801.93	812.13
NYSE:RBC	0.833	389.99				465.26	529.89
NYSE:RS	0.811	315.94	23 May 2025	1.125		489.36	342.10
