date,symbol,amount
2025-08-13,NYSE:SEM,0.0625
2025-11-12,NYSE:SEM,0.0625
2025-08-18,NYSE:BBAR,0.022446
2025-09-19,NYSE:BBAR,0.033772
2025-10-20,NYSE:BBAR,0.031055
2025-06-24,NYSE:ARCO,0.06
2025-09-23,NYSE:ARCO,0.06
2025-07-18,NYSE:BMA,0.398517
2025-08-15,NYSE:BMA,0.365809
2025-09-19,NYSE:BMA,0.366465
2025-10-20,NYSE:BMA,0.305083
2025-06-06,NASDAQ:WSBC,0.37
2025-09-05,NASDAQ:WSBC,0.37
2025-08-11,NYSE:WBS,0.4
2025-11-10,NYSE:WBS,0.4
2025-06-02,NASDAQ:FFBC,0.24
2025-09-02,NASDAQ:FFBC,0.25
2025-08-08,NASDAQ:SMBK,0.08
2025-11-17,NASDAQ:SMBK,0.08
2025-06-26,NYSE:BBW,0.22
2025-09-25,NYSE:BBW,0.22
2025-08-04,NASDAQ:CALM,2.354
2025-10-29,NASDAQ:CALM,1.371
2025-06-17,NASDAQ:HBAN,0.155
2025-09-17,NASDAQ:HBAN,0.155
2025-05-30,NYSE:NBHC,0.3
2025-08-29,NYSE:NBHC,0.3
2025-05-30,NASDAQ:PFIS,0.6175
2025-08-29,NASDAQ:PFIS,0.6175
2025-06-02,NYSE:RF,0.25
2025-09-02,NYSE:RF,0.265
2025-05-27,NYSE:KEY,0.205
2025-09-02,NYSE:KEY,0.205
2025-08-01,NYSE:SHG,0.41
