Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:SEM	0.979	20.16	3 Mar 2025	0.1095		10.25	25.15
NASDAQ:IREN	0.949	6.88				2.25	2.47
NASDAQ:MESO	0.909	12.76			ADR	9.72	9.79
NYSE:WDS	0.896	14.04	7 Mar 2025	0.305	ADR	0.00	0.00
NYSE:BBW	0.876	37.03	27 Mar 2025	0.2		65.35	80.75
NYSE:QXO	0.856	14.28				29.87	29.91
NYSE:LU	0.807	3.05			ADR	0.00	0.00
NASDAQ:ROP	0.789	584.30	4 Apr 2025	0		779.22	918.41
NASDAQ:CALM	0.764	101.51	30 Apr 2025	1.685		781.19	815.11
NYSE:PBI	0.764	9.00	21 Feb 2025	0.05		27.65	39.27
NASDAQ:IGIC	0.740	25.90	4 Apr 2025	0		1.19	1.19
NYSE:HEI	0.735	262.25				416.47	474.25
NYSEAMERICAN:UAMY	0.734	3.48				3.82	4.24
NYSE:EHC	0.710	122.41	1 Apr 2025	0.165		123.78	167.02
NYSE:BMI	0.705	227.15	23 May 2025	0.3225		284.98	293.19
NYSE:IRS	0.673	14.81			ADR	20.61	22.41
NYSE:ROL	0.673	58.77	12 May 2025	0.1575		73.88	78.11
NASDAQ:GOOD	0.666	14.75	21 May 2025	0.3		27.27	48.06
NYSE:MD	0.663	13.21				69.03	73.58
NYSE:PH	0.661	627.72	9 May 2025	1.5925		929.02	1052.44
