ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:SEM,14.985,40.98,18.24,16.58,17332550.81
NASDAQ:IREN,4.15,15.92,6.37,6.3,80337340.16
NASDAQ:MESO,5.78,22.0,11.94,11.86,1781124.64
NYSE:WDS,11.26,20.17,12.88,12.89,11416729.21
NYSE:BBW,23.63,48.23,35.66,35.31,10487999.48
NYSE:QXO,10.61,290.0,13.22,12.75,91467151.44
NYSE:LU,2.0,4.83,2.81,2.95,11493999.58
NASDAQ:ROP,499.47,595.1668,557.59,559.66,327700299.39
NASDAQ:CALM,55.17,116.41,92.48,92.68,104508121.29
NYSE:PBI,4.135,11.01,8.75,8.47,15795392.72
NASDAQ:IGIC,12.92,27.76,24.09,24.87,2387128.18
NYSE:HEI,206.62,283.6,257.19,247.21,116465731.65
NYSEAMERICAN:UAMY,0.21,3.86,3.22,3.77,12536812.60
NYSE:EHC,82.3815,117.52,115.94,101.41,132769699.01
NYSE:BMI,162.1706,239.1054,224.22,217.48,69330083.50
NYSE:IRS,8.21,17.67,13.73,14.39,1839123.76
NYSE:ROL,44.29,57.199,56.07,55.47,128128377.08
NASDAQ:GOOD,12.67,17.875,14.02,14.02,4521204.67
NYSE:MD,6.62,17.67,12.74,12.5,6646788.04
NYSE:PH,488.45,718.44,610.12,596.81,442333359.32
