Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:SBLK	1	29.28	2025-12-05	0.075	Buy 135 at $19.52 ~= $2,635	0	0
NYSE:DSX	1	2.56				0	0
NYSE:GSL	1	53.23	2025-11-21	0.53125		0	0
NASDAQ:IMPP	1	5.66				0	0
NYSE:TEN	1	33.27	2026-02-11	0.375		0	0
NASDAQ:SHIP	1	14.05	2025-12-29	0.0825		0	0
NYSE:NMM	1	78.99	2025-11-10	0.05		0	0
NYSE:DAC	1	143.63	2025-12-02	0.8625		0	0
NASDAQ:ESEA	1	82.50	2025-12-09	0.5125		0	0
NYSE:DD	0.5994032025337219	42.35	2025-11-28	0.4025	Buy 64 at $40.89 ~= $2,617	0	0
NASDAQ:AVGO	0.4780418872833252	371.70	2025-12-22	0.605		440.67813537300214	473.75074800173223
NASDAQ:NVDA	0.4118500351905823	198.36	2025-12-04	0.01		248.86754575762393	250.97674472133062
NASDAQ:ADI	0.37666845321655273	283.42	2025-12-08	0.99		361.8098138674443	404.02191282684004
NYSE:AL	0.37099790573120117	66.00	2025-12-04	0.22		0	0
NASDAQ:QCOM	0.3701314330101013	179.34	2025-12-04	0.87		0	0
NYSE:PKST	0.36291709542274475	14.88	2025-12-31	0.19375		0	0
NYSE:BDX	0.3595353960990906	200.94	2025-12-08	1.04		0	0
NYSE:MDT	0.35913899540901184	98.97	2025-12-26	0.705		90.2707462061175	122.63230867591176
NASDAQ:INTC	0.34896913170814514	40.89				0	0
NYSE:NLOP	0.3449316620826721	21.82	2026-01-02	0		0	0
