ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:DD,33.335,85.0,40.87,41.07,199886891.85
NYSE:RES,4.1,7.17,5.53,5.46,9562932.05
NYSE:ABEV,1.76,2.635,2.47,2.37,70776513.48
NASDAQ:NVDA,86.62,212.1899,188.85,188.61,27244797730.94
NASDAQ:ALAB,47.125,262.9,179.56,169.97,575841123.59
NASDAQ:AVGO,138.1,414.61,347.62,350.22,12644382284.03
NYSE:BF.B,25.53,38.85,26.14,26.89,127015021.15
NYSE:BF.A,25.98,38.3,26.22,26.73,4835371.34
NASDAQ:SWKS,47.93,95.4597,64.395,64.51,145118381.74
NASDAQ:QCOM,120.8019,205.95,172.98,174.77,1180097800.41
NASDAQ:ADI,158.65,284.225,273.74,277.56,813507495.45
NASDAQ:INTC,17.665,44.02,39.38,36.16,2308308185.82
NASDAQ:SYNA,41.8,89.81,75.74,73.865,30138262.69
NYSE:GGB,2.27,3.805,3.78,3.74,34932339.48
NYSE:TPH,27.9,38.96,31.57,32.01,27165403.16
NASDAQ:KLAC,551.33,1286.81,1274.47,1276.99,922245469.19
NASDAQ:POWI,30.86,68.2,37.3,37.16,60807211.81
NASDAQ:SIMO,37.21,106.6,93.76,89.08,22218663.25
NASDAQ:MRVL,47.085,127.48,89.39,86.49,918170583.70
NASDAQ:RMBS,40.12,114.55,99.28,94.48,108584720.91
