Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:ELME	1	4.41	2026-01-08	0.18	Buy 898 at $2.94 ~= $2,640	0	0
NASDAQ:SBLK	1	29.79	2025-12-05	0.075		0	0
NASDAQ:IMPP	1	5.93				0	0
NASDAQ:ICON	1	4.47				0	0
NYSE:GSL	1	54.96	2025-11-21	0.53125		0	0
NYSE:DSX	1	2.82				0	0
NASDAQ:SHIP	1	14.34	2025-12-29	0.0825		0	0
NYSE:DAC	1	153.30	2025-12-02	0.8625		0	0
NASDAQ:GASS	1	11.96				0	0
NYSE:NMM	1	84.48	2025-11-10	0.05		0	0
NASDAQ:ESEA	1	83.72	2025-12-09	0.5125		0	0
NYSE:DD	0.9075343012809753	46.66	2025-11-28	0.4025	Buy 60 at $44.00 ~= $2,640	0	0
NYSE:NLOP	0.5675941109657288	21.06	2026-01-02	0	Buy 117 at $20.36 ~= $2,382	0	0
NYSE:BXP	0.5121638774871826	69.94	2025-12-31	0.91		0	0
NYSE:PKST	0.3906676471233368	14.32	2025-12-31	0.19375		0	0
NASDAQ:AMD	0.3747665584087372	215.51				0	0
NASDAQ:RMBS	0.3740595877170563	96.46				0	0
NYSE:LB	0.37396666407585144	52.19	2025-12-04	0.1		0	0
NASDAQ:AVGO	0.36674657464027405	363.29	2025-12-22	0.605		437.815994032634	470.8250381700268
NASDAQ:INDI	0.3574618995189667	4.09				0	0
