ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:ICON,0.04,4.2301,2.76,0.6541,3402263.90
NASDAQ:SBLK,12.06,20.87,19.62,19.56,26287780.19
NYSE:DSX,1.27,2.035,1.84,1.73,1055457.99
NYSE:TEN,13.402000000000001,26.69,24.86,21.71,8191880.85
NYSE:GSL,17.7301,37.22,36.23,34.56,11241470.19
NASDAQ:IMPP,2.116965,6.57,3.82,3.74,1886374.27
NASDAQ:GASS,4.9,8.18,7.79,7.19,1037886.07
NASDAQ:SHIP,4.78,11.15,9.42,9.18,1195339.67
NYSE:NMM,28.37,56.67,55.43,51.12,5627642.27
NYSE:DAC,65.4,102.1999,100.56,94.32,6944946.27
NASDAQ:ESEA,26.3,66.0,55.36,54.1,2062327.34
NYSE:DD,33.335,85.0,43.43,42.01,168911970.15
NYSE:ELME,2.695,18.08,2.87,17.49,61399483.51
NASDAQ:AVGO,138.1,414.61,352.21,343.42,7660296947.83
NASDAQ:NVDA,86.62,212.1899,184.94,188.12,26778086325.22
NASDAQ:EA,115.21,204.885,204.25,204.36,336660159.89
NASDAQ:AMD,76.48,267.0799,207.69,221.08,5712718382.49
NASDAQ:OMAB,70.16,116.255,110.785,109.26,5013111.10
NYSE:NLOP,19.7,34.53,20.12,20.5,4074150.71
NYSE:PKST,10.26,15.4043,13.78,14.39,2326306.09
