Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:DVLT	1	1.40			Buy 2964 at $0.93 ~= $2,757	0	0
NYSE:SMR	1	30.45				0	0
NYSE:NKE	1	100.62	2025-12-01	0.4025	Buy 41 at $67.08 ~= $2,750	72.78253411566459	79.08879993890775
NYSE:DD	1	66.07	2025-11-28	0.4025	Buy 62 at $44.05 ~= $2,731	0	0
NYSE:BROS	1	92.59				0	0
NASDAQ:LSCC	1	132.91			Buy 31 at $88.61 ~= $2,747	0	0
NASDAQ:SBLK	1	29.80	2025-12-05	0.075		0	0
NYSE:POR	1	74.09	2025-12-22	0.5125	Buy 55 at $49.39 ~= $2,716	0	0
NYSE:KLC	1	6.92			Buy 598 at $4.61 ~= $2,757	0	0
NYSE:GWH	1	2.90				0	0
NYSE:GBX	1	74.10	2026-01-27	0.315	Buy 32 at $49.40 ~= $1,581	13.15213467037659	87.76477531400576
NASDAQ:COLM	1	83.34	2025-11-20	0.3		0	0
NASDAQ:IMPP	1	5.96				0	0
NYSE:DSX	1	2.83				0	0
NASDAQ:ICON	1	4.20				0	0
NYSE:NWN	1	69.93	2025-10-31	0.49		0	0
NYSE:GSL	1	55.35	2025-11-21	0.53125		0	0
NYSE:LAD	1	509.49	2025-11-07	0.545		0	0
NASDAQ:DMRC	1	10.39				0	0
NASDAQ:SHIP	1	14.22	2025-12-29	0.0825		0	0
