Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:DD	1	65.89	2025-11-28	0.4025	Buy 61 at $43.93 ~= $2,680	0	0
NASDAQ:SBLK	1	31.35	2025-12-05	0.075		0	0
NYSE:DSX	1	3.18				0	0
NASDAQ:IMPP	1	5.96				0	0
NYSE:GSL	1	54.61	2025-11-21	0.53125		0	0
NYSE:NMM	1	86.18	2025-11-10	0.05		0	0
NASDAQ:SHIP	1	14.25	2025-12-29	0.0825		0	0
NASDAQ:GASS	1	11.91				0	0
NYSE:DAC	1	152.58	2025-12-02	0.8625		0	0
NASDAQ:ESEA	1	83.88	2025-12-09	0.5125		0	0
NYSE:ELME	0.8919215798377991	3.17	2026-01-08	0.18	Buy 901 at $3.00 ~= $2,703	0	0
NASDAQ:AVGO	0.5170063972473145	360.93	2025-12-22	0.605		436.07813537300217	469.15074800173227
NYSE:AAT	0.49778565764427185	19.40	2025-12-04	0.33875		0	0
NASDAQ:MOBX	0.48398515582084656	0.25				-0.47529248902530147	-0.28059444985997695
NASDAQ:ADI	0.48087039589881897	315.00	2025-12-08	0.99		390.16981386744425	432.38191282684005
NYSE:NLOP	0.4778670370578766	20.53	2026-01-02	0		0	0
NASDAQ:SIMO	0.4762093126773834	119.23	2026-02-11	0	ADR	0	0
NASDAQ:SWKS	0.4668026864528656	61.99	2025-11-18	0.7025		0	0
NASDAQ:EA	0.462039053440094	210.50	2025-12-03	0.19		0	0
NYSE:BXP	0.45573559403419495	69.67	2025-12-31	0.91		0	0
