Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:NAKA	1	0.89				0	0
NASDAQ:DENN	1	9.24				1.2424603760774309	4.659040951617211
NYSE:DDD	1	3.29			Buy 455 at $2.19 ~= $996	-1.6751467008423846	2.0266856370313167
NYSE:LRN	1	99.61				267.6712480773634	313.49916789455233
NYSE:SON	1	60.20	2025-12-10	0.525		111.87988926817867	210.6133351418077
NASDAQ:UCB	1	44.71	2025-12-15	0.2425		-100.25272767592564	-93.77061759346172
NASDAQ:BLKB	1	87.73				204.08667911514053	214.53599518296082
NYSE:NGVT	1	73.62				114.80580346221794	146.87243062885707
NASDAQ:SCSC	1	58.55				56.065376042130914	68.12922915610956
NASDAQ:SFST	1	73.13				-365.5240938651959	-360.1938268141972
NASDAQ:WRLD	0.9845201373100281	149.37				724.7046863542434	758.1090339557736
NYSE:RM	0.9595676064491272	39.25	2025-11-25	0.3		195.43635079050475	212.72411710931888
NYSE:COUR	0.9324643611907959	8.82				17.856176690543386	19.587323636694787
NASDAQ:APEI	0.9186580181121826	37.70				79.55550173338892	92.50056289114528
NYSE:CHGG	0.9099605083465576	1.11				14.298708024850287	9.725587606524737
NYSE:FC	0.9028933048248291	16.15				23.730990445500357	31.285899253440455
NYSE:DD	0.8926358819007874	41.16	2025-11-28	0.4025		61.6878127118302	88.0497128066468
NYSE:MFG	0.8870347142219543	6.97			ADR	-96.20881306455095	-93.54712260527975
NASDAQ:UDMY	0.8681182861328125	5.32				6.555233017343231	8.36907871045879
NASDAQ:CASH	0.8670365214347839	71.16	2025-09-10	0		0	0
