ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:NAKA,0.44,34.77,0.4431,0.6143,8871313.64
NASDAQ:DENN,2.85,7.66,6.15,6.14,17931088.50
NYSE:DDD,1.32,4.9991,1.95,2.16,5279711.99
NYSE:LRN,62.49,171.17,65.57,64.1,115602180.97
NYSE:SON,38.65,52.77,41.05,40.93,42349188.09
NASDAQ:UCB,22.93,35.38,30.53,30.24,20484282.97
NASDAQ:BLKB,55.83,88.95,56.49,61.28,20454598.32
NYSE:NGVT,28.49,60.77,49.56,49.37,15981053.45
NASDAQ:SCSC,28.75,53.9,39.51,40.71,6187544.14
NASDAQ:SFST,29.14,50.25,49.77,49.24,1425788.19
NASDAQ:WRLD,104.99,185.48,140.89,137.73,9098719.61
NYSE:RM,25.41,46.0,36.51,37.57,1893070.88
NYSE:COUR,5.76,13.56,8.11,8.48,21030021.57
NASDAQ:APEI,18.765,39.83,34.8,34.39,13060287.13
NYSE:CHGG,0.4401,2.725,0.9501,1.09,2658265.66
NYSE:FC,14.035,39.22,15.05,14.99,2600880.51
NYSE:DD,33.335,85.12,38.54,39.71,232712446.25
NYSE:MFG,4.04,7.11,6.61,7.05,23854733.01
NASDAQ:UDMY,4.86,10.61,5.05,5.18,8833201.02
NASDAQ:CASH,64.45,86.0,70.2,68.86,11326795.50
