ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:MFG,4.04,7.11,6.57,6.8,22468261.38
NYSE:AUB,22.85,44.54,32.26,32.71,31136811.43
NYSE:FFWM,4.415,8.52,5.01,5.08,5268939.80
NYSE:LOB,22.68,50.16,29.84,32.09,8179340.21
NYSE:AX,54.46,93.84,77.08,82.0,21835306.41
NASDAQ:UCB,22.93,35.38,29.77,30.13,19441846.11
NYSE:FCF,13.54,19.96,15.55,15.9,10551965.12
NYSE:BAP,165.51,280.88,254.7,262.52,57601256.75
NASDAQ:GABC,32.7516,47.08,37.99,39.42,3228025.74
NASDAQ:TBBK,40.51,81.6526,59.41,63.57,32988966.50
NYSE:SFBS,66.48,101.37,68.91,71.27,12810294.31
NYSE:DB,16.0201,38.78,34.6,38.64,107218056.82
NYSE:CUBI,40.75,72.51,65.0,67.35,15066725.90
NASDAQ:FFIN,29.8,44.66,30.2,31.36,16292952.37
NASDAQ:DENN,2.85,7.66,6.15,6.16,20862585.60
NASDAQ:SCSC,28.75,53.9,38.53,41.47,6876929.00
NYSE:TFC,33.56,49.055,44.65,45.64,328369116.75
NASDAQ:SSB,77.74,114.265,87.08,89.65,69093307.67
NYSE:SON,38.65,52.77,39.86,40.29,41009315.69
NYSE:AMTB,15.62,26.235,17.2,18.0,6425040.78
