ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:AGNC,7.85,10.6282,10.06,10.2,235316531.19
NYSE:IONQ,14.15,84.64,61.11,55.45,2015103687.24
NASDAQ:WULF,2.06,17.05,14.5,12.615,577992273.43
NYSE:UAA,4.61,11.89,4.62,4.78,41393879.42
NASDAQ:HST,12.22,19.365,16.31,16.8,94434090.46
NASDAQ:REKR,0.621,3.42,2.56,2.66,27417122.02
NYSE:UA,4.44,10.62,4.46,4.64,18692491.96
NASDAQ:ALT,2.9,11.16,4.0,3.9,9300904.24
NASDAQ:BLNK,0.6301,2.6499,1.69,1.79,6650442.76
NASDAQ:PCSA,0.15,1.5,0.3893,0.2782,1957043.64
NASDAQ:NVAX,5.01,11.55,8.38,8.46,32161986.37
NASDAQ:CEG,161.35,412.7,401.43,350.06,1067578107.52
NASDAQ:PGEN,0.6513,5.225,4.01,3.91,17974761.80
NYSE:DRH,6.185,10.0,7.85,7.89,20016011.29
NYSE:CIEN,49.21,193.12,189.27,164.48,392843960.56
NYSE:MKC,63.64,86.24,63.83,68.58,151553189.02
NYSE:OHI,35.04,44.415,39.53,40.65,58519014.82
NYSEAMERICAN:LEU,49.4001,464.25,390.82,314.83,625292830.83
NYSE:ELME,13.95,18.08,16.43,16.86,21282770.66
NYSE:LMT,410.11,576.43,485.33,487.14,751489419.87
