date,ticker,high,low,open,close,split_coefficient
2025-10-07,NYSE:SEM,13.16,12.92,12.98,13.04,1.0
2025-10-08,NYSE:SEM,15.35,14.24,14.325,14.24,1.0
2025-10-09,NYSE:SEM,14.235,13.58,14.22,13.64,1.0
2025-10-10,NYSE:SEM,13.76,13.28,13.76,13.32,1.0
2025-10-13,NYSE:SEM,13.4886,13.18,13.43,13.19,1.0
2025-10-07,NYSE:SFBS,83.51,81.49,83.51,81.99,1.0
2025-10-08,NYSE:SFBS,82.58,80.98,82.58,81.08,1.0
2025-10-09,NYSE:SFBS,81.3119,79.687,80.88,80.14,1.0
2025-10-10,NYSE:SFBS,81.245,76.55,80.47,76.76,1.0
2025-10-13,NYSE:SFBS,78.85,76.59,77.75,78.04,1.0
2025-10-07,NYSE:OBK,35.385,34.89,34.89,35.02,1.0
2025-10-08,NYSE:OBK,35.45,34.81,35.25,34.84,1.0
2025-10-09,NYSE:OBK,34.96,34.25,34.91,34.45,1.0
2025-10-10,NYSE:OBK,34.67,32.93,34.28,32.98,1.0
2025-10-13,NYSE:OBK,33.47,32.9,33.47,33.44,1.0
2025-10-07,NASDAQ:BFST,23.98,23.61,23.68,23.67,1.0
2025-10-08,NASDAQ:BFST,23.83,23.49,23.83,23.6,1.0
2025-10-09,NASDAQ:BFST,23.64,23.3,23.51,23.46,1.0
2025-10-10,NASDAQ:BFST,23.85,22.76,23.44,22.81,1.0
2025-10-13,NASDAQ:BFST,23.255,22.725,23.07,23.21,1.0
2025-10-07,NASDAQ:HBCP,55.131,54.4,54.56,54.44,1.0
2025-10-08,NASDAQ:HBCP,54.75,54.08,54.16,54.45,1.0
2025-10-09,NASDAQ:HBCP,54.45,53.53,54.3,53.79,1.0
2025-10-10,NASDAQ:HBCP,54.4825,51.85,53.92,51.89,1.0
2025-10-13,NASDAQ:HBCP,53.055,51.79,51.79,52.83,1.0
2025-10-07,NYSE:MFG,6.39,6.33,6.39,6.35,1.0
2025-10-08,NYSE:MFG,6.47,6.42,6.42,6.46,1.0
2025-10-09,NYSE:MFG,6.45,6.37,6.45,6.38,1.0
2025-10-10,NYSE:MFG,6.26,6.09,6.25,6.09,1.0
2025-10-13,NYSE:MFG,6.22,6.16,6.22,6.2,1.0
2025-10-07,NYSE:RF,26.155,25.72,25.99,25.73,1.0
2025-10-08,NYSE:RF,25.84,25.27,25.81,25.29,1.0
2025-10-09,NYSE:RF,25.61,25.16,25.42,25.31,1.0
2025-10-10,NYSE:RF,25.44,24.14,25.43,24.16,1.0
2025-10-13,NYSE:RF,24.7071,24.265,24.52,24.555,1.0
2025-10-07,NYSE:IBN,31.19,30.82,30.82,31.02,1.0
2025-10-08,NYSE:IBN,30.92,30.6,30.91,30.74,1.0
2025-10-09,NYSE:IBN,30.86,30.63,30.82,30.86,1.0
2025-10-10,NYSE:IBN,31.48,31.0,31.1,31.09,1.0
2025-10-13,NYSE:IBN,31.22,31.02,31.04,31.15,1.0
2025-10-07,NASDAQ:TBBK,79.37,76.37,78.58,76.44,1.0
2025-10-08,NASDAQ:TBBK,77.7399,76.24,76.76,76.62,1.0
2025-10-09,NASDAQ:TBBK,77.22,75.89,76.5,76.85,1.0
2025-10-10,NASDAQ:TBBK,77.64,72.41,77.0,72.56,1.0
2025-10-13,NASDAQ:TBBK,76.4,74.19,74.19,76.36,1.0
2025-10-07,NYSE:CMA,81.98,79.48,80.7,80.05,1.0
2025-10-08,NYSE:CMA,81.49,79.5,80.5,79.86,1.0
2025-10-09,NYSE:CMA,81.04,79.7,80.08,80.21,1.0
2025-10-10,NYSE:CMA,80.55,75.81,80.24,75.87,1.0
2025-10-13,NYSE:CMA,77.89,76.69,77.0,77.37,1.0
2025-10-07,NYSE:PB,66.72,65.53,66.37,65.6,1.0
2025-10-08,NYSE:PB,65.96,65.22,65.82,65.37,1.0
2025-10-09,NYSE:PB,65.74,64.94,65.4,65.06,1.0
2025-10-10,NYSE:PB,65.485,62.95,65.28,62.98,1.0
2025-10-13,NYSE:PB,64.55,63.32,63.69,64.42,1.0
2025-10-07,NASDAQ:TCBI,88.11,85.825,86.74,86.62,1.0
2025-10-08,NASDAQ:TCBI,87.85,85.935,86.81,86.25,1.0
2025-10-09,NASDAQ:TCBI,86.66,84.685,86.32,85.1,1.0
2025-10-10,NASDAQ:TCBI,86.32,80.0,85.42,80.18,1.0
2025-10-13,NASDAQ:TCBI,82.58,80.64,81.49,82.53,1.0
2025-10-07,NASDAQ:CTBI,56.99,55.155,56.32,55.17,1.0
2025-10-08,NASDAQ:CTBI,55.91,55.01,55.53,55.54,1.0
2025-10-09,NASDAQ:CTBI,55.54,54.65,55.54,55.02,1.0
2025-10-10,NASDAQ:CTBI,55.69,53.32,55.2,53.32,1.0
2025-10-13,NASDAQ:CTBI,54.45,53.4,54.32,54.35,1.0
2025-10-07,NYSE:CUBI,66.53,65.44,65.86,65.56,1.0
2025-10-08,NYSE:CUBI,66.183,64.44,65.84,64.53,1.0
2025-10-09,NYSE:CUBI,65.34,64.0432,64.54,65.07,1.0
2025-10-10,NYSE:CUBI,66.33,63.77,65.58,63.79,1.0
2025-10-13,NYSE:CUBI,65.06,64.06,64.54,64.69,1.0
2025-10-07,NYSE:FFWM,5.975,5.82,5.9,5.92,1.0
2025-10-08,NYSE:FFWM,5.985,5.81,5.93,5.94,1.0
2025-10-09,NYSE:FFWM,5.9399,5.75,5.92,5.76,1.0
2025-10-10,NYSE:FFWM,5.86,5.53,5.78,5.54,1.0
2025-10-13,NYSE:FFWM,5.72,5.54,5.65,5.7,1.0
2025-10-07,NYSE:BY,28.32,27.66,28.16,27.74,1.0
