Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:MFG	1	9.58			ADR	0	0
NASDAQ:VBTX	1	49.77	2025-09-16	0.21		0	0
NYSE:HOMB	1	42.59	2025-08-13	0.19625		0	0
NASDAQ:UCB	1	48.16	2025-09-15	0.24		0	0
NYSE:SFBS	1	125.27	2025-10-01	0.32625		0	0
NASDAQ:IBOC	1	103.91	2025-08-15	0.34		0	0
NYSE:OBK	1	53.09	2025-08-15	0.15		0	0
NASDAQ:SYBT	1	107.01	2025-09-15	0.31		0	0
NASDAQ:BANF	1	193.31	2025-09-30	0.46		0	0
NASDAQ:SBSI	1	43.34	2025-08-21	0.36		0	0
NASDAQ:CTBI	1	85.48	2025-09-15	0.47		0	0
NYSE:EQBK	1	62.07	2025-09-30	0.15		0	0
NASDAQ:RBCAA	1	108.28	2025-09-19	0.429		0	0
NASDAQ:SPFI	1	58.88	2025-07-28	0.1475		0	0
NASDAQ:HBCP	1	82.71	2025-08-04	0.2625		0	0
NYSE:BY	0.9963655471801758	31.42	2025-08-05	0.095		0	0
NYSE:CBU	0.9927012324333191	65.62	2025-09-12	0.46		0	0
NASDAQ:TCBI	0.9914544224739075	96.64				0	0
NYSE:MTB	0.9886452555656433	209.36	2025-09-02	1.35		0	0
NYSE:RF	0.9885857701301575	28.58	2025-09-02	0.25		0	0
