Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:MFG	1	9.39			ADR	0	0
NASDAQ:FULT	1	27.81	2025-10-01	0.1775		0	0
NASDAQ:HONE	1	21.33	2025-09-03	0.085		0	0
NASDAQ:WSFS	1	81.03	2025-08-08	0.155		0	0
NASDAQ:INDB	1	105.51	2025-09-29	0.58		0	0
NYSE:OBK	1	52.01	2025-08-15	0.15		0	0
NASDAQ:SYBT	1	104.75	2025-09-15	0.31		0	0
NASDAQ:BANF	1	187.68	2025-09-30	0.46		0	0
NASDAQ:CTBI	1	83.53	2025-09-15	0.47		0	0
NASDAQ:VBTX	0.9973639845848083	35.66	2025-09-16	0.21		0	0
NASDAQ:FMBH	0.9964134097099304	40.62	2025-08-15	0.24		0	0
NYSE:BY	0.9956989884376526	30.53	2025-08-05	0.095		0	0
NASDAQ:RBCAA	0.9956947565078735	78.71	2025-09-19	0.429		0	0
NASDAQ:CCNE	0.9944491982460022	27.14	2025-08-29	0.18		0	0
NASDAQ:SBSI	0.9933191537857056	31.07	2025-08-21	0.36		0	0
NYSE:RF	0.9906638860702515	27.87	2025-09-02	0.25		0	0
NASDAQ:TTWO	0.9905362129211426	282.72				0	0
NASDAQ:IBOC	0.9894653558731079	75.36	2025-08-15	0.34		0	0
NYSE:SFBS	0.9887683987617493	88.78	2025-10-01	0.32625		0	0
NASDAQ:MPB	0.9880564212799072	31.46	2025-08-08	0.2		0	0
