Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:SEM	1	20.29	2025-08-13	0.07825	Buy 161 at $13.53 ~= $2,178; STOP: $9.42	0	0
NYSE:SFBS	1	123.33	2025-10-01	0.32625		0	0
NYSE:OBK	1	52.41	2025-08-15	0.15		0	0
NASDAQ:BFST	0.9969706535339355	26.29	2025-08-15	0.14		0	0
NASDAQ:HBCP	0.9821935296058655	59.84	2025-08-04	0.2625		0	0
NYSE:MFG	0.9808947443962097	7.18			ADR	0	0
NYSE:RF	0.9681169986724854	28.61	2025-09-02	0.25		0	0
NYSE:IBN	0.9676562547683716	33.14	2025-08-12	0	ADR	0	0
NASDAQ:TBBK	0.9614756107330322	82.87				0	0
NYSE:CMA	0.9480018615722656	76.29	2025-09-15	0.71		0	0
NYSE:PB	0.9476690888404846	71.36	2025-09-15	0.575		0	0
NASDAQ:TCBI	0.9469471573829651	91.23				0	0
NASDAQ:CTBI	0.9409523606300354	59.65	2025-09-15	0.47		0	0
NYSE:CUBI	0.9399124383926392	69.98				0	0
NYSE:FFWM	0.9396767616271973	6.23				0	0
NYSE:BY	0.9358013272285461	29.68	2025-08-05	0.095		0	0
NYSE:FCF	0.9354814291000366	18.14	2025-08-08	0.1325		0	0
NASDAQ:IBOC	0.9309728741645813	73.64	2025-08-15	0.34		0	0
NASDAQ:SBSI	0.925388753414154	30.26	2025-08-21	0.36		0	0
NYSE:EQBK	0.9174046516418457	43.53	2025-09-30	0.15		0	0
