Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NYSE:RF	1	37.06	2025-09-02	0.25		0	0
NYSE:OBK	1	50.20	2025-08-15	0.15		0	0
NASDAQ:SBSI	1	41.49	2025-08-21	0.36		0	0
NASDAQ:WASH	0.9980201125144958	30.05	2025-10-01	0.56		0	0
NASDAQ:VBTX	0.9954253435134888	34.42	2025-09-16	0.21		0	0
NYSE:SEM	0.9952722191810608	14.92	2025-08-13	0.07825	GTC: delete	0	0
NYSE:FCF	0.9911156296730042	17.93	2025-08-08	0.1325		0	0
NYSE:BY	0.9896439909934998	29.27	2025-08-05	0.095		0	0
NASDAQ:BANF	0.9877030849456787	132.70	2025-09-30	0.46		0	0
NASDAQ:QCRH	0.9852066040039062	77.27	2025-09-18	0.06		0	0
NASDAQ:TBBK	0.9829195737838745	83.01				0	0
NASDAQ:SYBT	0.9783305525779724	73.81	2025-09-15	0.31		0	0
NASDAQ:NRIM	0.9778174757957458	22.51	2025-09-04	0.15875		0	0
NYSE:GBCI	0.9757101535797119	51.39	2025-10-07	0.33		0	0
NASDAQ:CASH	0.9732728004455566	80.00	2025-09-10	0.05		0	0
NYSE:MFG	0.9635802507400513	6.69			ADR	0	0
NYSE:SFBS	0.9600980877876282	84.64	2025-10-01	0.32625		0	0
NASDAQ:WSFS	0.9591678977012634	56.96	2025-08-08	0.155		0	0
NASDAQ:FIBK	0.9549964070320129	33.51	2025-08-11	0.47		0	0
NASDAQ:UCB	0.9538778066635132	34.70	2025-09-15	0.24		0	0
