Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:WSFS	1	81.03	2025-08-08	0.155		0	0
NASDAQ:INDB	1	105.51	2025-09-29	0.58		0	0
NYSE:OBK	1	52.01	2025-08-15	0.15		0	0
NASDAQ:SYBT	1	104.75	2025-09-15	0.31		0	0
NASDAQ:BANF	1	187.68	2025-09-30	0.46		0	0
NASDAQ:CTBI	1	83.53	2025-09-15	0.47		0	0
NYSE:MFG	0.9998540878295898	7.25			ADR	0	0
NASDAQ:HONE	0.9937875866889954	15.66	2025-09-03	0.085		0	0
NYSE:SEM	0.9935864210128784	15.15	2025-08-13	0.07825	GTC: delete	0	0
NASDAQ:FULT	0.9925848841667175	20.37	2025-10-01	0.1775		0	0
NASDAQ:HIFS	0.9799817800521851	328.22	2025-08-04	0.63		0	0
NASDAQ:RBCAA	0.9799357652664185	77.06	2025-09-19	0.429		0	0
NASDAQ:VBTX	0.9785845875740051	34.65	2025-09-16	0.21		0	0
NYSE:BY	0.9784460067749023	29.86	2025-08-05	0.095		0	0
NASDAQ:FMBH	0.9772356152534485	39.60	2025-08-15	0.24		0	0
NYSE:RF	0.9749283194541931	27.49	2025-09-02	0.25		0	0
NASDAQ:IBOC	0.9748822450637817	74.46	2025-08-15	0.34		0	0
NASDAQ:SBSI	0.9732783436775208	30.48	2025-08-21	0.36		0	0
NYSE:SFBS	0.9727333188056946	87.69	2025-10-01	0.32625		0	0
NASDAQ:NBBK	0.9700128436088562	18.95	2025-08-06	0	GTC: delete	0	0
