Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted
NASDAQ:XP	0.955	16.13				11.34	13.33
NYSE:UGP	0.948	3.27				3.93	7.10
NASDAQ:AFYA	0.936	18.94				76.10	97.83
NYSE:CIG	0.931	2.12				4.46	10.30
NYSE:EQC	0.917	1.86	9 Dec 2024	0		0.00	0.00
NYSE:BSBR	0.914	5.05				0.00	0.00
NYSE:BRFS	0.905	3.75				21.43	27.88
NASDAQ:PLUS	0.869	74.58				157.53	172.05
NYSE:PBA	0.849	39.22	16 Dec 2024	0.67825		54.27	68.99
NYSE:SEM	0.845	19.86				8.63	12.80
NASDAQ:GOOD	0.828	17.20	19 Feb 2025	0.3		2.26	7.97
NYSE:REZI	0.825	23.24				0.00	0.00
NASDAQ:JJSF	0.800	136.79	17 Dec 2024	0		159.55	219.13
NYSE:EBR	0.784	6.95	30 Dec 2024	0.45575		4.18	10.21
NASDAQ:PFG	0.779	91.41	2 Dec 2024	0		0.00	0.00
NASDAQ:AVO	0.776	12.74				20.00	25.31
NYSE:BBW	0.769	40.11	27 Nov 2024	0		82.35	100.34
NASDAQ:MLKN	0.757	24.15	29 Nov 2024	0		0.00	0.00
NYSE:ABEV	0.742	2.00				4.43	5.21
NYSE:HEI.A	0.740	189.56	3 Jan 2025	0		279.34	313.34
