date,symbol,amount
2025-02-14,NASDAQ:INTR,0.08
2025-04-23,NYSE:BSBR,0.068052
2025-07-21,NYSE:BSBR,0.096379
2025-03-03,NYSE:SEM,0.0625
2025-05-15,NYSE:SEM,0.0625
2025-04-14,NYSE:EBF,0.25
2025-07-11,NYSE:EBF,0.25
2025-03-13,NASDAQ:LKQ,0.3
2025-05-15,NASDAQ:LKQ,0.3
2025-03-31,NYSE:CIG,0.033037
2025-05-12,NYSE:CIG,0.060452
2025-06-30,NYSE:CIG,0.037931
2025-03-20,NASDAQ:ITRN,0.5
2025-06-18,NASDAQ:ITRN,0.5
2025-03-26,NASDAQ:AFYA,0.232049
2025-03-10,NYSE:UGP,0.077375
2025-04-10,NYSE:GIS,0.6
2025-07-10,NYSE:GIS,0.61
2025-02-19,NASDAQ:GOOD,0.1
2025-03-19,NASDAQ:GOOD,0.1
2025-04-21,NASDAQ:GOOD,0.1
2025-05-21,NASDAQ:GOOD,0.1
2025-06-20,NASDAQ:GOOD,0.1
2025-07-21,NASDAQ:GOOD,0.1
2025-03-28,NASDAQ:TILE,0.01
2025-05-30,NASDAQ:TILE,0.01
2025-03-17,NYSE:STC,0.5
2025-06-16,NYSE:STC,0.5
2025-03-17,NYSE:PBA,0.48
2025-06-16,NYSE:PBA,0.523
2025-03-13,NYSE:BDC,0.05
2025-06-12,NYSE:BDC,0.05
2025-03-17,NYSE:FNF,0.5
2025-06-16,NYSE:FNF,0.5
