date,symbol,amount
2024-12-19,NYSE:WFG,0.135
2024-12-27,NYSE:WFG,0.32
2025-03-14,NYSE:WFG,0.32
2024-11-18,NYSE:HNI,0.33
2025-02-24,NYSE:HNI,0.33
2024-12-16,NYSE:GEF,0.54
2025-03-17,NYSE:GEF,0.54
2024-11-15,NYSE:SHW,0.715
2025-03-03,NYSE:SHW,0.79
2024-12-19,NYSE:UWMC,0.1
2025-03-20,NYSE:UWMC,0.1
2024-11-18,NASDAQ:KLAC,1.7
2025-02-24,NASDAQ:KLAC,1.7
2024-12-26,NYSE:REVG,0.06
2025-03-28,NYSE:REVG,0.06
2024-11-12,NYSE:KMT,0.2
2025-02-11,NYSE:KMT,0.2
2024-11-12,NYSE:ETD,0.39
2025-02-11,NYSE:ETD,0.39
2024-12-04,NYSE:FF,0.06
2025-03-04,NYSE:FF,0.06
2024-11-22,NYSE:PDM,0.125
2025-02-21,NYSE:PDM,0.125
2024-12-17,NYSE:BBY,0.94
2025-03-25,NYSE:BBY,0.95
2024-12-11,NYSE:KSS,0.5
2025-01-06,NYSE:OC,0.69
2025-03-10,NYSE:OC,0.69
2024-11-18,NYSE:PFSI,0.3
2025-02-13,NYSE:PFSI,0.3
