ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NASDAQ:TASK,6.2,18.39,6.57,6.87,4554919.66
NYSE:DD,33.335,83.4,47.42,46.21,147655142.30
NYSE:ELME,1.98,17.68,2.09,2.02,2629195.79
NASDAQ:JBIO,2.47,18.375,18.23,16.02,10382290.47
NASDAQ:CTAS,165.6,229.24,174.15,172.04,452426714.63
NASDAQ:BKNG,166.25,5839.4136,176.6,4184.56,1408190097.36
NYSE:TDG,1123.61,1623.825,1225.52,1173.27,435682194.80
NASDAQ:NDSN,165.03,305.28,276.25,267.24,94422939.69
NASDAQ:ROST,124.49,226.635,224.91,219.95,549236435.41
NASDAQ:BTSG,15.4836,46.69,45.92,42.03,95172946.34
NASDAQ:GPRE,3.14,17.94,15.21,16.23,23743064.20
NYSE:CSTM,7.325,30.1424,29.47,27.32,64852987.06
NASDAQ:SWBI,7.73,15.4,14.49,14.77,9170239.53
NASDAQ:AVGO,157.51,414.61,354.91,313.49,7284152081.46
NYSE:DOW,20.4019,42.74,38.04,40.69,654329434.31
NASDAQ:CSCO,52.67,88.185,83.17,77.93,1562250851.63
NASDAQ:STLD,108.74,208.47,190.0,182.85,175465820.47
NYSE:NGVT,28.49,77.46,74.98,72.28,19275040.32
NYSE:GE,165.7,348.48,313.02,292.68,1686240233.52
NYSE:ITT,111.02,216.26,215.8,192.96,210394617.33
