Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NASDAQ:TASK	1	10.30	2026-03-26	0		23.09895697775354	53.528501730749475	2.8010	12.00
NYSE:DD	1	70.95	2026-05-15	0.3575	Buy 214 at $47.30 ~= $10,122	67.74390381853205	49.20152229080526	-1.9006	55.79
NASDAQ:JBIO	0.8177464008331299	19.85				0	0	-2.5835	28.71
NASDAQ:SBRA	0.7600210905075073	21.44	2026-02-13	0.3	Buy 493 at $20.52 ~= $10,116	27.740132519374406	38.34872062917894	0.6171	21.92
NASDAQ:ABNB	0.7324059009552002	136.27				211.34993719511982	211.70340436991097	5.9281	145.68
NYSE:SITC	0.7272714376449585	5.57			Buy 450 at $5.34 ~= $2,403	25.58773332157156	95.19409273965367	3.3894	5.50
NYSE:MCK	0.7131555676460266	907.11	2026-03-02	0.765		852.8799017800546	896.3672877703406	35.4323	991.67
NASDAQ:DHC	0.6962833404541016	7.44	2026-04-21	0.01		2.2017261463560445	20.572248813055033	-1.1808	7.25
NASDAQ:ALHC	0.6798805594444275	21.85				25.099794026724215	25.56172951184662	-0.0035	25.50
NYSE:AHR	0.5788294672966003	51.09	2026-03-31	0.25		46.512713079274675	58.772426590358705	0.3638	58.08
NASDAQ:HSIC	0.5728456974029541	78.68				121.18583774666622	148.86101458171268	3.4685	89.23
NYSE:FVR	0.5683059096336365	17.41	2026-03-31	0.215		0	0	-0.1716	17.44
NYSE:ELME	0.557729184627533	2.23				-1.4952110865475097	6.192442239819649	-1.7349	18.00
NYSE:LTC	0.5441243052482605	41.31	2026-04-22	0.57		48.724281466458336	61.823769771264544	2.3829	41.29
NYSE:DOW	0.5397171378135681	41.97	2026-05-29	0.525		17.300747831543962	83.12047416615985	-3.6450	37.94
NASDAQ:CLOV	0.5329338908195496	2.11				3.9179159684850386	3.9598722833527664	-0.1994	2.82
NYSE:CTRE	0.5116664171218872	40.95	2026-03-31	0.335		60.93015048994162	66.89879358349553	1.4359	43.75
NYSE:OHI	0.49577027559280396	47.50	2026-02-09	0.67		69.11215278732571	87.89935064156326	1.9964	49.62
NASDAQ:VIAV	0.4920510947704315	43.45				44.46639508052984	50.58469040989787	-0.1802	30.93
NYSE:COR	0.4920263886451721	333.00	2026-02-13	0.5625		218.3562497652435	232.38642606628127	8.3545	402.92
