Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps
NYSE:SITC	1	8.12				25.157973276569418	93.5796955495891	3.3903
NASDAQ:TASK	1	9.84	2026-03-26	0		23.051596341853333	53.53772657338473	2.8787
NASDAQ:FHB	1	36.64	2026-02-13	0.26	Buy 386 at $24.43 ~= $9,430	-112.94727335889962	-109.94662358986142	2.2483
NYSE:MATX	1	240.98	2026-02-05	0.35	Buy 58 at $160.65 ~= $9,318	207.68837125978317	307.6382303355672	14.6223
NYSE:BOH	1	110.44	2026-02-27	0.7		-401.1587074074944	-393.76392791606816	5.1831
NYSE:HE	1	22.48			Buy 630 at $14.99 ~= $9,444	-16.956729107780607	1.4898377919717398	0.7316
NYSE:DD	1	68.75	2026-03-02	0.3575	Buy 206 at $45.83 ~= $9,441	65.03988708621202	47.00646245382232	-1.9050
NASDAQ:JBIO	1	20.75				0	0	-2.5836
NYSE:ELME	1	3.06	2026-01-08	0.162		-1.6813283251183777	5.852582476626116	-1.7349
NASDAQ:VRTX	0.831288754940033	466.17			Buy 21 at $443.65 ~= $9,317	522.5905859773203	537.4003972131234	15.5638
NYSE:IBP	0.8223811984062195	283.15	2026-03-13	0.37	Buy 35 at $269.69 ~= $9,439	347.78235546863715	440.25694962022243	9.8387
NYSE:TDG	0.8188539743423462	1211.62			Buy 8 at $1,154.36 ~= $9,235	1478.161351270765	1608.1604836472627	34.8302
NASDAQ:ISRG	0.8182082772254944	481.74			Buy 20 at $459.00 ~= $9,180	585.122822108011	625.1377733381696	8.0412
NYSE:KBH	0.8073848485946655	54.41	2026-02-05	0.25		0	0	5.6335
NASDAQ:AVGO	0.804707407951355	319.51	2026-03-23	0.62		395.5493468639951	426.3218826375989	5.2743
NASDAQ:CVCO	0.8001335859298706	495.98				725.2111487896328	754.1723956586105	23.7618
NYSE:TOL	0.7433217763900757	139.37	2026-04-10	0.25		284.3482602618434	116.36409486091908	14.5683
NYSE:NXDT	0.7275387048721313	4.79	2026-02-20	0.15		0	0	-1.8266
NASDAQ:TRI	0.7204744815826416	96.05	2026-02-17	0.595	Buy 102 at $92.16 ~= $9,400	155.45645003088208	186.90974001794675	3.3955
NYSE:AAT	0.7201396226882935	19.34	2026-03-05	0.34	Buy 55 at $18.56 ~= $1,021	17.091057319890364	52.72901564768751	1.1625
