date,symbol,amount
2026-05-15,NYSE:DD,0.2
2026-05-28,NYSE:DD,0.35
2026-08-31,NYSE:DD,0.6
2026-05-15,NASDAQ:SBRA,0.3
2026-06-01,NYSE:MCK,0.82
2026-04-21,NASDAQ:DHC,0.01
2026-07-20,NASDAQ:DHC,0.01
2026-08-03,NYSE:SITC,1
2026-06-30,NYSE:AHR,0.25
2026-06-30,NYSE:FVR,0.215
2026-05-29,NYSE:DOW,0.35
2026-04-22,NYSE:LTC,0.19
2026-05-21,NYSE:LTC,0.19
2026-06-22,NYSE:LTC,0.19
2026-07-23,NYSE:LTC,0.19
2026-08-21,NYSE:LTC,0.19
2026-09-22,NYSE:LTC,0.19
2026-06-30,NYSE:CTRE,0.39
2026-05-15,NYSE:COR,0.6
2026-05-04,NYSE:OHI,0.67
