ticker,week52_low,week52_high,close_score_date,close_5d_prior,adv_dollar_10d
NYSE:FDX,216.095,413.87,318.2,310.84,488173801.96
NYSE:DD,33.335,144.845,134.29,134.79,157655314.98
NASDAQ:VISN,7.135,20.55,12.08,12.6,72884281.84
NYSE:AD,33.71,79.165,34.93,34.74,10067814.63
NYSE:SITC,3.91,12.39,4.42,4.21,5049893.09
NASDAQ:TASK,4.465,18.39,5.97,5.27,2756666.74
NYSE:ELME,1.26,17.68,1.54,1.54,2612477.86
AMEX:SDEV,0.4342,19.95,1.24,1.36,3337320.77
NASDAQ:STRS,15.35,32.93,20.67,27.0,3721213.28
NYSE:EBF,16.3,22.36,21.71,21.21,2927356.61
NYSE:BBY,55.1,87.35,85.29,79.99,310819205.03
NYSE:USAC,21.85,30.55,26.91,26.5,4699197.15
NASDAQ:SWBI,7.73,17.5625,15.25,15.51,7974894.95
NYSE:INN,3.975,7.145,6.61,6.48,6041605.32
NYSE:NTST,17.02,22.25,22.14,21.66,30685383.46
NYSE:NSA,27.43,46.47,45.45,44.63,51927253.05
NYSE:GAP,18.11,29.36,20.5,18.85,149966697.50
NYSE:NE,25.24,54.98,40.42,38.9,55521466.22
NYSE:TTE,57.48,94.17,78.82,78.23,115417797.28
NYSE:BKE,40.73,61.69,42.69,41.58,22495563.23
