Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:DD	0.91475909948349	147.51	2026-08-31	0.915		137.68708210483607	204.68406042556649	-0.2148	169.63
NASDAQ:GNTX	0.9146408438682556	24.72	2026-07-08	0	Buy 453 at $23.28 ~= $10,546	0	0	1.9116	29.22
NASDAQ:VISN	0.9146358370780945	12.96	2026-04-28	0	GTC: delete	45.02298033783073	66.25026806429871	0.0027	17.33
NYSE:STC	0.9142086505889893	72.71	2026-06-15	0.395	Buy 84 at $68.49 ~= $5,753	0	0	4.6151	83.00
NYSE:WIT	0.9141744375228882	1.99	2026-07-27	2	ADR	167.36987351647988	213.29338112259845	3.5185	1.75
NYSE:KEP	0.914125382900238	13.08			ADR	1515.5402606526668	5647.985270474765	1035.5041	16.00
NYSE:TSLX	0.9131852984428406	17.90	2026-06-15	0.4975		-19146.01781087598	-19460.302700994125	1.1317	19.27
NASDAQ:TASK	0.9128907322883606	5.88				51.62552258400516	80.20154066540724	2.8857	9.50
NYSE:AD	0.9126215577125549	37.25	2026-06-11	0	GTC: delete	20.007579952837364	54.83849666327969	8.4279	46.34
NYSE:AIV	0.9107611775398254	2.82	2026-06-04	0		-2.347417221279328	3.5235348188445585	3.8511	7.00
NYSE:SITC	0.910689651966095	4.66	2026-08-03	0	GTC: delete	24.381703159978684	50.71693862594617	3.3485	5.00
NYSE:ELME	0.9104310870170593	1.61				0	0	-1.7349	18.00
NYSE:PNNT	0.9087727069854736	3.50	2026-07-15	0.24		-12282.68137687487	-12274.860661494535	0.2115	4.75
NYSE:NLOP	0.9082756042480469	12.43				47.299482540459984	67.25647991004357	-8.1514	46.00
NASDAQ:VYNE	0.9070562124252319	0.58	2026-07-22	0		-81.12215534291761	-83.95581415488249	-32.1357	2.00
NASDAQ:STRS	0.8925161957740784	21.09	2026-07-13	0		-11.395306742867199	-9.577796502494854	2.6913	
NASDAQ:AMSF	0.8645309209823608	32.73	2026-09-11	0.4		0	0	2.5118	35.00
NASDAQ:GAIN	0.83877032995224	16.95	2026-08-18	0.24		21.804100683359593	39.62248581948608	4.8931	16.83
NASDAQ:TRIN	0.8260043859481812	18.45	2026-08-14	0.51		5.711945334447909	8.361548799935708	1.7137	18.03
