Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:FDX	0.9148135185241699	338.33	2026-06-22	0		472.48501093547446	730.8797522241769	18.5829	352.43
NYSE:DD	0.9147641062736511	144.19	2026-08-31	0.915		0	0	-0.6518	169.63
NASDAQ:VISN	0.9146727323532104	13.13	2026-04-28	0	GTC: delete	0	0	-0.1410	17.33
NYSE:AD	0.9129482507705688	37.42	2026-06-11	0	GTC: delete	0	0	7.8478	46.34
NYSE:SITC	0.9120887517929077	4.84	2026-08-03	0		0	0	2.4623	6.00
NASDAQ:TASK	0.9105198979377747	6.33				0	0	2.3371	9.50
NYSE:NLOP	0.9075357913970947	12.50				0	0	-2.6472	46.00
NYSE:EBF	0.8804962635040283	23.23	2026-07-10	0.25		46.03368406243604	52.982320834895916	1.6919	24.00
NYSE:BBY	0.7932463884353638	91.21	2026-06-18	0.9525		83.87327437031169	121.28342650599315	5.4231	79.15
NYSE:INN	0.7658104300498962	6.96	2026-05-15	0.08		0	0	-0.1446	6.19
NYSE:USAC	0.764119565486908	28.31	2026-04-27	0.525	Withholding Tax: 10%	0	0	0.6939	29.60
NYSE:ELME	0.7471887469291687	1.61				0	0	-1.6948	18.00
NYSE:UMC	0.7461218237876892	22.69	2026-07-08	0.65	ADR	0	0	4.4050	16.25
NYSE:NE	0.7450125813484192	43.37	2026-06-04	0.5		0	0	1.1675	48.82
NYSE:AIV	0.7361604571342468	2.90	2026-06-04	0		0	0	3.9853	7.00
NYSE:AEO	0.7024039626121521	18.62	2026-07-10	0.125		59.928177788007396	56.67476291645149	1.6733	19.50
NYSE:DOW	0.6955733299255371	31.78	2026-05-29	0.4375		0	0	-2.6722	37.44
NYSE:CC	0.6911248564720154	18.59	2026-05-15	0.0875		0	0	-0.1995	25.33
NYSE:JEF	0.6724469661712646	57.64	2026-08-18	0		0	0	4.6264	61.33
NASDAQ:SWBI	0.6540350914001465	15.88	2026-07-01	0.13		59.237319390784336	66.04129075090448	0.4132	17.25
