Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:CVX	0.9148299694061279	180.98				205.5167414878151	443.1828094353281	6.1745	213.29
NASDAQ:HON	0.9148285388946533	246.90			Buy 48 at $232.55 ~= $11,162	246.76109092725915	267.2948853413661	6.4720	251.50
NYSE:SLB	0.914824903011322	50.04				87.28715242085278	105.40538616567888	2.2316	56.36
NASDAQ:BKR	0.9148152470588684	60.92				97.86898078960388	114.84770361422886	2.6095	63.48
NYSE:HAL	0.9148118495941162	36.94				28.769438220193315	42.64501702825095	1.8434	41.64
NYSE:FTI	0.9148013591766357	71.10	2026-05-19	0.05		88.42797092636249	102.10949095262613	2.7148	72.57
NYSE:DD	0.9147866368293762	145.19	2026-05-15	0.3575		155.6960608230649	137.47113423081822	-1.9006	55.87
NYSE:KGS	0.914770245552063	81.77				90.83666680408342	122.46005109854072	0.9119	61.75
NYSE:SEI	0.914766788482666	86.18	2026-06-02	0.12		53.03290362995446	67.39508185768443	0.7926	85.48
NASDAQ:WFRD	0.9147607088088989	87.59	2026-05-06	0.25625		135.53957420013762	204.1989247553505	6.4373	114.17
NYSE:TTE	0.9147534966468811	82.64	2026-06-30	1.02775	ADR	106.303985475302	83.83761306067773	6.7697	97.07
NYSE:LBRT	0.9147411584854126	28.64				35.09174014558538	57.508473534770374	0.9125	29.00
NYSE:NOV	0.9147205948829651	19.96				51.79322381126817	61.60460009728831	0.4021	20.55
NYSE:WBI	0.914717435836792	37.02				0	0	-0.0965	30.75
NYSE:VAL	0.914689302444458	81.59				110.85259638057033	52.184290552023384	14.1916	66.17
NASDAQ:VISN	0.914660632610321	13.73	2026-04-28	0	GTC: delete	47.259834044342526	69.40391857735682	0.0027	17.00
NYSE:OII	0.914650559425354	43.69				147.67066290863616	165.92379218244133	3.5467	31.50
NYSE:PUMP	0.914650022983551	16.03				15.986580178610199	30.09979288066505	0.0067	14.91
NYSE:TDW	0.91464763879776	72.05				195.2646424976783	235.46995470123593	6.7295	84.71
NYSE:TS	0.9146435856819153	59.88	2026-05-19	0.2225	ADR	0	0	2.8206	58.57
