Stock	Score	Target	ExDividendDate	DividendPerShare	Notes	intrinsicValuePerShareBasic	intrinsicValuePerShareAdjusted	eps	AnalystTargetPrice
NYSE:SLB	0.9148218035697937	48.37				85.56411598457542	103.57460344791586	2.2316	56.36
NASDAQ:BKR	0.9148139953613281	57.70				94.62060424144971	111.46367630757862	2.6095	63.48
NYSE:HAL	0.9148066639900208	35.70				0	0	1.2784	41.64
NYSE:FTI	0.9148035645484924	71.14	2026-05-19	0.05		0	0	2.0389	72.57
NYSE:DD	0.9147734642028809	148.31	2026-05-15	0.3575		158.20389711265128	140.21240177532977	-1.9006	55.87
NYSE:KGS	0.9147657155990601	77.50				83.28777494785355	114.72698567777555	0.9119	61.75
NYSE:SEI	0.9147619605064392	77.67	2026-06-02	0.12		0	0	0.5879	85.48
NASDAQ:WFRD	0.9147406816482544	88.33	2026-05-06	0.25625		0	0	4.5464	114.17
NYSE:AROC	0.9147388339042664	41.75	2026-05-12	0		63.60530228573968	89.96696615804437	1.8391	39.67
NYSE:LBRT	0.914736807346344	26.19				32.606027019002035	54.972368052674916	0.9125	29.00
NYSE:EMN	0.914711058139801	73.74			GTC: delete	109.72654236774594	155.04621407737562	4.1452	79.20
NYSE:NOV	0.9146900773048401	19.51				50.967232164366905	60.7230098696644	0.4021	20.55
NASDAQ:VISN	0.9146866798400879	13.19	2026-04-28	0	GTC: delete	0	0	-0.1410	17.00
NYSE:VAL	0.9146799445152283	80.89				112.79556174860699	54.90870583750621	14.1916	66.17
NYSE:PUMP	0.9146625995635986	14.45				13.71964851257898	27.75731007343339	0.0067	14.91
NYSE:TDW	0.9146233797073364	73.42				195.57218737969205	235.46340564345647	6.7295	84.71
NYSE:OII	0.9146201610565186	42.48				144.22988230779083	162.2869211189528	3.5467	31.50
NYSE:TS	0.9146086573600769	58.22	2026-05-19	0.2225	ADR	0	0	1.7681	58.57
NYSE:WBI	0.9146060347557068	34.71				0	0	-0.0965	30.75
NYSE:AESI	0.9146047830581665	17.15				0	0	-0.7466	16.55
